repr_type,model_a,model_b,metric,mean,ci_low,ci_high
embedding_matrix,deu_50m,en_deu_a,jaccard_at_k_mean,0.6713760973440348,0.653366588754136,0.6877372733644261
embedding_matrix,deu_50m,en_deu_a,axis_abs_projection_diff_mean,0.11935389625325796,0.11448898521810766,0.12462721639871593
embedding_matrix,deu_50m,en_deu_a,frobenius_cultural_similarity,0.11807296035003663,0.11508378543853759,0.1209985960006714
embedding_matrix,deu_50m,en_deu_b,jaccard_at_k_mean,0.6719276936608105,0.6533244018496696,0.6904059840057718
embedding_matrix,deu_50m,en_deu_b,axis_abs_projection_diff_mean,0.1204279033464193,0.11419882359728213,0.12653299703821536
embedding_matrix,deu_50m,en_deu_b,frobenius_cultural_similarity,0.12471036471557617,0.12164134006500243,0.1279675302505493
embedding_matrix,deu_100m,en_deu_a,jaccard_at_k_mean,0.6916947695299754,0.6745848131038236,0.7083540406937512
embedding_matrix,deu_100m,en_deu_a,axis_abs_projection_diff_mean,0.12185136316426096,0.11704781262949106,0.12695249403268094
embedding_matrix,deu_100m,en_deu_a,frobenius_cultural_similarity,0.12008246561431885,0.11718364238739014,0.12312406787872314
embedding_matrix,deu_100m,en_deu_b,jaccard_at_k_mean,0.6894605320177434,0.6713909162835874,0.706586137139954
embedding_matrix,deu_100m,en_deu_b,axis_abs_projection_diff_mean,0.12260900495283303,0.11642150274291631,0.12859992406889792
embedding_matrix,deu_100m,en_deu_b,frobenius_cultural_similarity,0.1272133382911682,0.12385269660949708,0.13054551086425784
pre_lmhead_contextual,deu_50m,en_deu_a,jaccard_at_k_mean,0.8631676621446922,0.8535483852377626,0.8725365235092508
pre_lmhead_contextual,deu_50m,en_deu_a,axis_abs_projection_diff_mean,3.0332787975835798,2.636359755396843,3.459507148683071
pre_lmhead_contextual,deu_50m,en_deu_a,frobenius_cultural_similarity,0.25780204962158204,0.24733125076293946,0.26803680801391605
pre_lmhead_contextual,deu_50m,en_deu_b,jaccard_at_k_mean,0.873598219123982,0.8646728084065403,0.8821960410876275
pre_lmhead_contextual,deu_50m,en_deu_b,axis_abs_projection_diff_mean,2.857380319494009,2.4790505029559133,3.287416586756706
pre_lmhead_contextual,deu_50m,en_deu_b,frobenius_cultural_similarity,0.27341630212402346,0.2639890266418457,0.28329479293823245
pre_lmhead_contextual,deu_100m,en_deu_a,jaccard_at_k_mean,0.8680538029249951,0.8594722239431162,0.8769108893623084
pre_lmhead_contextual,deu_100m,en_deu_a,axis_abs_projection_diff_mean,3.4516867100191115,3.00989115691185,3.9358312368392943
pre_lmhead_contextual,deu_100m,en_deu_a,frobenius_cultural_similarity,0.23260744846343995,0.22197532806396483,0.24315267333984375
pre_lmhead_contextual,deu_100m,en_deu_b,jaccard_at_k_mean,0.8789120894919509,0.8708076317685455,0.8868926538302552
pre_lmhead_contextual,deu_100m,en_deu_b,axis_abs_projection_diff_mean,3.4715014784324167,3.0708905426859854,3.894567879080772
pre_lmhead_contextual,deu_100m,en_deu_b,frobenius_cultural_similarity,0.24633302571868895,0.23654633293151855,0.2558897575378418
contextual_over_embedding,deu_50m,en_deu_a,axis_ratio_contextual_over_embedding,25.502126040775874,21.89062325498058,29.21684648889069
contextual_over_embedding,deu_50m,en_deu_b,axis_ratio_contextual_over_embedding,23.725844569277005,20.458471820458612,27.55102415206493
contextual_over_embedding,deu_100m,en_deu_a,axis_ratio_contextual_over_embedding,28.29912798949591,24.42159629361238,32.37504537670054
contextual_over_embedding,deu_100m,en_deu_b,axis_ratio_contextual_over_embedding,28.258694706994472,24.919287328891155,32.004639122383495
