baseline,model_b,language,country,n_items,available,mean_abs_hard_prediction_shift,mean_abs_expected_prediction_shift,baseline_emd_expected,bilingual_emd_expected,delta_emd_expected_bilingual_minus_baseline
en_100m,en_bul_a,bul,Bulgaria,0,0,,,,,
en_100m,en_zh_a,zh,China,131,1,0.31043256997455465,0.042335190763217484,0.2836595919532798,0.28577120162666353,0.002111609673383752
en_100m,en_fr_a,fr,France,0,0,,,,,
en_100m,en_deu_a,deu,Germany,82,1,0.0,0.017358195995722744,0.3306094292005634,0.3290563524854525,-0.0015530767151109015
en_100m,en_ind_a,ind,Indonesia,150,1,0.3179629629629629,0.04423567160163815,0.36865375395200334,0.36479932244198254,-0.003854431510020795
en_100m,en_fas_a,fas,Iran,54,1,0.033950617283950615,0.026557624765846062,0.3157368163009893,0.30664543050225745,-0.009091385798731866
en_100m,en_nld_a,nld,Netherlands,92,1,0.005434782608695652,0.015967473322569866,0.3279622065041216,0.32261388157408466,-0.005348324930036952
en_100m,en_ukr_a,ukr,Ukraine,55,1,0.02727272727272727,0.016921522838423277,0.32285825722435385,0.3260879744883913,0.003229717264037424
en_50m,en_bul_a,bul,Bulgaria,0,0,,,,,
en_50m,en_zh_a,zh,China,131,1,0.2989821882951653,0.016227948714833032,0.28405227928036025,0.28577120162666353,0.0017189223463032755
en_50m,en_fr_a,fr,France,0,0,,,,,
en_50m,en_deu_a,deu,Germany,82,1,0.0,0.02874848065395418,0.33278167332689285,0.3290563524854525,-0.0037253208414403383
en_50m,en_ind_a,ind,Indonesia,150,1,0.3179629629629629,0.013016196903257025,0.36255079605764146,0.36479932244198254,0.0022485263843410874
en_50m,en_fas_a,fas,Iran,54,1,0.0,0.01235793928302564,0.30891179138620245,0.30664543050225745,-0.0022663608839449956
en_50m,en_nld_a,nld,Netherlands,92,1,0.0,0.032379707194750945,0.3259676815925412,0.32261388157408466,-0.003353800018456532
en_50m,en_ukr_a,ukr,Ukraine,55,1,0.02727272727272727,0.027091508587463942,0.3238022611488284,0.3260879744883913,0.0022857133395629003
