repr_type,pair,axis,mean_abs_projection_diff,mean_rel_projection_diff,mean_signed_projection_diff
embedding_matrix,bul_50m__vs__en_bul_a,pilgrim->spectator,0.2002425491809845,0.8825157880783081,-0.13942790031433105
embedding_matrix,bul_50m__vs__en_bul_a,indigenous->diaspora,0.1777542233467102,0.8809722065925598,0.08614858984947205
embedding_matrix,bul_50m__vs__en_bul_a,taboo->permissive,0.17335855960845947,0.8569250702857971,0.12228160351514816
embedding_matrix,bul_50m__vs__en_bul_a,clan->individual,0.17229126393795013,0.8624303936958313,-0.06953656673431396
embedding_matrix,bul_50m__vs__en_bul_a,uniform->personalized,0.1657370775938034,0.8828338384628296,-0.004052852746099234
embedding_matrix,bul_50m__vs__en_bul_a,tradition->modernity,0.1621752381324768,0.8685958981513977,-0.056640900671482086
embedding_matrix,bul_50m__vs__en_bul_a,assimilation->pluralism,0.15900342166423798,0.8969374895095825,-0.13325534760951996
embedding_matrix,bul_50m__vs__en_bul_a,sacred->secular,0.1529558300971985,0.8418765664100647,-0.05564707890152931
embedding_matrix,bul_50m__vs__en_bul_a,authority->deliberation,0.1477101445198059,0.8651942014694214,0.046355266124010086
embedding_matrix,bul_50m__vs__en_bul_a,kin->stranger,0.1415502429008484,0.8555803298950195,-0.053388528525829315
embedding_matrix,bul_50m__vs__en_bul_a,lotus->rose,0.13929413259029388,0.8413059711456299,-0.01861158385872841
embedding_matrix,bul_50m__vs__en_bul_a,fermented->fresh,0.13577352464199066,0.837559700012207,-0.09491946548223495
embedding_matrix,bul_50m__vs__en_bul_a,federal->centralized,0.13424986600875854,0.8734590411186218,0.09019479155540466
embedding_matrix,bul_50m__vs__en_bul_a,individualism->collectivism,0.13208511471748352,0.8525656461715698,0.06387663632631302
embedding_matrix,bul_50m__vs__en_bul_a,local->global,0.13163542747497559,0.8144646286964417,0.06571928411722183
embedding_matrix,bul_50m__vs__en_bul_a,script->image,0.12945625185966492,0.8420882821083069,-0.07262337952852249
embedding_matrix,bul_50m__vs__en_bul_a,homeland->migration,0.12837570905685425,0.8423824310302734,-0.050487957894802094
embedding_matrix,bul_50m__vs__en_bul_a,vegetarian->meat,0.126075878739357,0.8530353903770447,0.037817247211933136
embedding_matrix,bul_50m__vs__en_bul_a,restraint->indulgence,0.12537120282649994,0.8355385661125183,0.05554972216486931
embedding_matrix,bul_50m__vs__en_bul_a,solidarity->competition,0.12532739341259003,0.8535555601119995,-0.07399527728557587
embedding_matrix,bul_50m__vs__en_bul_a,dragon->eagle,0.12476367503404617,0.8388525247573853,0.0578925684094429
embedding_matrix,bul_50m__vs__en_bul_a,formal->casual,0.1235002726316452,0.8293524384498596,0.015065797604620457
embedding_matrix,bul_50m__vs__en_bul_a,modest->revealing,0.1230844259262085,0.8495414853096008,0.06231740862131119
embedding_matrix,bul_50m__vs__en_bul_a,lineage->mobility,0.1219983845949173,0.8645087480545044,0.02460286021232605
embedding_matrix,bul_50m__vs__en_bul_a,prayer->reason,0.12134220451116562,0.8167944550514221,0.07562782615423203
embedding_matrix,bul_50m__vs__en_bul_a,duty->freedom,0.12029208242893219,0.8680142760276794,-0.0538913868367672
embedding_matrix,bul_50m__vs__en_bul_a,pilgrimage->tourism,0.1171458512544632,0.8631585240364075,-0.04313880577683449
embedding_matrix,bul_50m__vs__en_bul_a,majority->minority,0.11536969244480133,0.8217040300369263,0.04994991421699524
embedding_matrix,bul_50m__vs__en_bul_a,black->gold,0.1149214506149292,0.8408473134040833,-0.056240569800138474
embedding_matrix,bul_50m__vs__en_bul_a,elder->youth,0.11350385844707489,0.8389817476272583,-0.046679701656103134
embedding_matrix,bul_50m__vs__en_bul_a,mourning->celebration,0.11336883902549744,0.8326552510261536,0.026402179151773453
embedding_matrix,bul_50m__vs__en_bul_a,ritual->routine,0.11262781918048859,0.853126585483551,-0.009884454309940338
embedding_matrix,bul_50m__vs__en_bul_a,customary->codified,0.10944823920726776,0.8424625992774963,0.04220709949731827
embedding_matrix,bul_50m__vs__en_bul_a,honor->shame,0.10832247883081436,0.8281635046005249,-0.005207855254411697
embedding_matrix,bul_50m__vs__en_bul_a,democracy->monarchy,0.10796137899160385,0.8317084312438965,0.006477146875113249
embedding_matrix,bul_50m__vs__en_bul_a,ancestor->novelty,0.10704142600297928,0.8156610131263733,-0.01835750788450241
embedding_matrix,bul_50m__vs__en_bul_a,obedience->autonomy,0.10604967921972275,0.827357292175293,0.039789993315935135
embedding_matrix,bul_50m__vs__en_bul_a,rice->bread,0.10509691387414932,0.821093738079071,-0.05479656904935837
embedding_matrix,bul_50m__vs__en_bul_a,patronage->meritocracy,0.10330739617347717,0.8125486969947815,0.05256955325603485
embedding_matrix,bul_50m__vs__en_bul_a,spicy->mild,0.10195989906787872,0.8414117693901062,-0.01111602783203125
embedding_matrix,bul_50m__vs__en_bul_a,ornate->plain,0.10188855230808258,0.8205253481864929,-0.019921379163861275
embedding_matrix,bul_50m__vs__en_bul_a,certainty->ambiguity,0.09933016449213028,0.8103520274162292,0.03622855991125107
embedding_matrix,bul_50m__vs__en_bul_a,fasting->feasting,0.09788692742586136,0.8446475267410278,0.007967734709382057
embedding_matrix,bul_50m__vs__en_bul_a,mother->father,0.09784699231386185,0.8235172033309937,0.020730264484882355
embedding_matrix,bul_50m__vs__en_bul_a,conformity->dissent,0.09476222097873688,0.8277491331100464,0.019455639645457268
embedding_matrix,bul_50m__vs__en_bul_a,lunar->solar,0.09355174005031586,0.8131821751594543,0.005069566424936056
embedding_matrix,bul_50m__vs__en_bul_a,veiled->unveiled,0.09145451337099075,0.8270817399024963,-0.028049729764461517
embedding_matrix,bul_50m__vs__en_bul_a,hierarchy->equality,0.08527222275733948,0.832985520362854,-0.008286409080028534
embedding_matrix,bul_50m__vs__en_bul_a,tea->coffee,0.08230598270893097,0.7981847524642944,-0.0028433273546397686
embedding_matrix,bul_50m__vs__en_bul_a,white->red,0.07562295347452164,0.79311203956604,0.018233679234981537
embedding_matrix,bul_50m__vs__en_bul_b,pilgrim->spectator,0.18024782836437225,0.8746622204780579,-0.06424274295568466
embedding_matrix,bul_50m__vs__en_bul_b,federal->centralized,0.17968088388442993,0.8923105001449585,0.059757594019174576
embedding_matrix,bul_50m__vs__en_bul_b,restraint->indulgence,0.17530152201652527,0.868878185749054,0.08521171659231186
embedding_matrix,bul_50m__vs__en_bul_b,lineage->mobility,0.1601112335920334,0.862170398235321,0.09979083389043808
embedding_matrix,bul_50m__vs__en_bul_b,authority->deliberation,0.16006003320217133,0.8676905035972595,0.056509435176849365
embedding_matrix,bul_50m__vs__en_bul_b,kin->stranger,0.1572275012731552,0.8645269870758057,-0.06286454200744629
embedding_matrix,bul_50m__vs__en_bul_b,taboo->permissive,0.15408889949321747,0.8527286648750305,0.031942807137966156
embedding_matrix,bul_50m__vs__en_bul_b,lotus->rose,0.15335091948509216,0.8417860865592957,-0.0415273979306221
embedding_matrix,bul_50m__vs__en_bul_b,clan->individual,0.15157067775726318,0.8533183336257935,-0.056522175669670105
embedding_matrix,bul_50m__vs__en_bul_b,elder->youth,0.14989961683750153,0.8864134550094604,-0.035895753651857376
embedding_matrix,bul_50m__vs__en_bul_b,majority->minority,0.147980734705925,0.8616026639938354,-0.03767694532871246
embedding_matrix,bul_50m__vs__en_bul_b,solidarity->competition,0.1478363275527954,0.8620151281356812,-0.07644935697317123
embedding_matrix,bul_50m__vs__en_bul_b,modest->revealing,0.14620977640151978,0.8699846863746643,0.07325370609760284
embedding_matrix,bul_50m__vs__en_bul_b,tradition->modernity,0.14331543445587158,0.8683235049247742,-0.00675206771120429
embedding_matrix,bul_50m__vs__en_bul_b,assimilation->pluralism,0.14264589548110962,0.863646388053894,-0.1000136286020279
embedding_matrix,bul_50m__vs__en_bul_b,mother->father,0.14151251316070557,0.8710252642631531,-0.07930126786231995
embedding_matrix,bul_50m__vs__en_bul_b,conformity->dissent,0.13998384773731232,0.8553590178489685,-0.09766886383295059
embedding_matrix,bul_50m__vs__en_bul_b,individualism->collectivism,0.1396172195672989,0.8392243385314941,0.06086421757936478
embedding_matrix,bul_50m__vs__en_bul_b,mourning->celebration,0.1364050954580307,0.852957546710968,0.04404206946492195
embedding_matrix,bul_50m__vs__en_bul_b,prayer->reason,0.13485266268253326,0.8400164842605591,0.09656954556703568
embedding_matrix,bul_50m__vs__en_bul_b,homeland->migration,0.13421133160591125,0.8561387658119202,-0.06987950950860977
embedding_matrix,bul_50m__vs__en_bul_b,white->red,0.13222602009773254,0.8478598594665527,0.06915276497602463
embedding_matrix,bul_50m__vs__en_bul_b,ornate->plain,0.1287984997034073,0.8379436135292053,-0.03529371693730354
embedding_matrix,bul_50m__vs__en_bul_b,indigenous->diaspora,0.1282404661178589,0.841008722782135,0.034018389880657196
embedding_matrix,bul_50m__vs__en_bul_b,spicy->mild,0.12813696265220642,0.8415054678916931,-0.054195404052734375
embedding_matrix,bul_50m__vs__en_bul_b,sacred->secular,0.1262420415878296,0.8072035908699036,0.03695664927363396
embedding_matrix,bul_50m__vs__en_bul_b,formal->casual,0.12489886581897736,0.8178474307060242,0.06253179907798767
embedding_matrix,bul_50m__vs__en_bul_b,fasting->feasting,0.12472864240407944,0.8494647145271301,0.02232084609568119
embedding_matrix,bul_50m__vs__en_bul_b,lunar->solar,0.12352260947227478,0.8407526612281799,-0.02217913791537285
embedding_matrix,bul_50m__vs__en_bul_b,vegetarian->meat,0.11725249886512756,0.8487654328346252,0.03230767324566841
embedding_matrix,bul_50m__vs__en_bul_b,fermented->fresh,0.11713383346796036,0.8246312737464905,-0.047201745212078094
embedding_matrix,bul_50m__vs__en_bul_b,ritual->routine,0.11656159907579422,0.8484958410263062,0.011525078676640987
