repr_type,model_a,model_b,jaccard_at_k_mean,jaccard_at_k_std,frobenius_cultural_similarity,procrustes_anchor_residual_fro,procrustes_anchor_residual_per_anchor,axis_abs_projection_diff_mean,axis_abs_projection_diff_rel_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean
embedding_matrix,bul_50m,en_bul_a,0.6630691318292128,0.2919652701537775,0.12959019470214844,108.30859375,0.03610286458333333,0.12302902579307556,0.8413819777965545,0.2002425491809845,-0.0010493926145136356
embedding_matrix,bul_50m,en_bul_b,0.671601054128146,0.28798626435195634,0.1345571746826172,108.7170181274414,0.03623900604248047,0.12779560074210167,0.8424109530448913,0.18024782836437225,0.001368206508923322
embedding_matrix,bul_100m,en_bul_a,0.6635528754797722,0.2918081715605781,0.12991969299316405,108.71968841552734,0.036239896138509115,0.12291729658842086,0.8361963975429535,0.19940654933452606,-0.001302595855668187
embedding_matrix,bul_100m,en_bul_b,0.6712803928012324,0.28859149483566143,0.13513151550292968,109.13591766357422,0.0363786392211914,0.12767736569046975,0.8380408561229706,0.17954924702644348,0.0011150047543924302
pre_lmhead_contextual,bul_50m,en_bul_a,0.8758391112907704,0.13919368549507818,0.36710653686523437,670.9801025390625,0.2236600341796875,3.396749641895294,0.68973692715168,8.790609359741211,0.39240652895532546
pre_lmhead_contextual,bul_50m,en_bul_b,0.8766832483288158,0.1351846071735948,0.3681219177246094,652.8682861328125,0.21762276204427083,3.4167570447921753,0.6789022344350815,8.949715614318848,0.5221376695856452
pre_lmhead_contextual,bul_100m,en_bul_a,0.8660263424644596,0.16656844079771896,0.4189796447753906,630.4520263671875,0.21015067545572916,3.15452584028244,0.7695420265197754,6.558424949645996,0.1345263835787773
pre_lmhead_contextual,bul_100m,en_bul_b,0.8696032768777182,0.15780339582740155,0.4176903076171875,609.549072265625,0.20318302408854166,3.253770877122879,0.7676454502344131,7.039453983306885,0.26425738841295243
