language,ratio_50m,ratio_100m,overlap_gain_dnn_emb,overlap_gain_dnn_ctx,overlap_gain_daxis_emb,overlap_gain_daxis_ctx
BUL,27.60933543933236,25.663807518034908,0.008129719810196723,0.0022105357256519964,0.00476332202553751,0.059626219868660346
DEU,25.405050281884293,28.310229256917324,-0.0010361418073937534,0.01054058488794013,0.0009327181428670436,-0.07857913970947239
FAS,20.414799515212422,22.457522829038137,-0.003519105390378474,0.007064890662179246,0.0074181260168552365,-0.22236640810966501
IND,33.78904540417924,27.468792435741086,-0.001622520479923728,-0.009468869363545462,-0.010757836699485802,0.1398539626598354
NLD,24.018973278568502,25.201992423549047,-0.011189982442085689,-0.017045182392759484,-0.011102881655096992,0.3309101307392117
UKR,21.813561373341862,24.84665266976698,-0.005775007327082526,-0.004580544564433131,-0.012118150889873502,-0.30228821992874155
