language,lang_code,family,hofstede_idv,hofstede_dist,ratio_50m,ratio_100m,avg_ratio,ci_50m_low,ci_50m_high,ci_100m_low,ci_100m_high
Bulgarian,bul,Indo-Eur (Slavic),30,61,27.60933543933236,25.663807518034908,26.636571478683635,23.441309302185136,32.212414634690646,22.41209800898314,29.116530883184765
Chinese,zh,Sino-Tibetan,20,71,17.10658866318974,21.410359699507417,19.25847418134858,14.890147373761884,19.56567382459179,18.051487721270423,25.004504833938867
Dutch,nld,Indo-Eur (Germanic),80,11,24.018973278568502,25.201992423549047,24.610482851058777,20.63888000516822,27.7307848332898,22.00941575229692,28.607942632580706
French,fr,Indo-Eur (Romance),71,20,29.494578787101123,35.889744891617696,32.69216183935941,26.046098882459336,33.20609857979531,31.5596051716194,40.28085584868987
German,deu,Indo-Eur (Germanic),67,24,25.405050281884293,28.310229256917324,26.85763976940081,21.89062325498058,29.21684648889069,24.42159629361238,32.37504537670054
Indonesian,ind,Austronesian,14,77,33.78904540417924,27.468792435741086,30.628918919960164,28.407663457536085,39.68334943465928,23.274138001217825,32.06391993590006
Persian,fas,Indo-Eur (Iranian),41,50,20.414799515212422,22.457522829038137,21.43616117212528,17.19437525702343,23.96057372271646,18.864048496218548,26.236353503633683
Ukrainian,ukr,Indo-Eur (Slavic),25,66,21.813561373341862,24.84665266976698,23.33010702155442,18.4849578430122,25.592995124673333,20.690373288065214,29.441978415405064
