probe_axis,ZH,FR,FAS,NLD,UKR,BUL,IND,DEU
wedding dress | white->red,-0.10711628943681717,-0.1304352730512619,0.031010285019874573,-0.12985947728157043,0.10776802897453308,0.08346037566661835,-0.3139159679412842,-0.19309674203395844
formal wedding dress | white->red,0.007862754166126251,-0.0911918580532074,0.11243798583745956,-0.1525173783302307,0.16753771901130676,0.161171093583107,-0.2502864599227905,-0.27008071541786194
wedding dress | black->gold,-0.19867515563964844,-0.07314528524875641,-0.2837986946105957,-0.3198951482772827,-0.2878885567188263,0.12474426627159119,-0.04040247201919556,-0.2617514431476593
formal wedding dress | black->gold,-0.25159183144569397,-0.0070699602365493774,-0.11540718376636505,-0.21008393168449402,-0.14181281626224518,0.20466488599777222,0.025168463587760925,-0.1400415152311325
