probe_axis,ZH,FR,FAS,NLD,UKR,BUL,IND,DEU
abaya | black->gold,0.07539966702461243,0.02314135432243347,-0.17512203752994537,0.11464060842990875,-0.021458998322486877,0.1412796676158905,0.16889803111553192,-0.014437586069107056
abaya | dragon->eagle,-0.1254124641418457,-0.0622980035841465,0.2356908619403839,0.03157989680767059,0.24123093485832214,0.11797940731048584,-0.09352755546569824,0.15533897280693054
abaya | formal->casual,-0.09587691724300385,-0.10557177662849426,-0.0546705424785614,0.04618532955646515,-0.23789453506469727,-0.08743345737457275,0.06354561448097229,-0.15540364384651184
abaya | lotus->rose,0.08303773403167725,0.004319414496421814,0.31470733880996704,0.0005925595760345459,0.019948363304138184,0.060122400522232056,0.013434723019599915,0.004227891564369202
abaya | modest->revealing,-0.24170440435409546,-0.2101288139820099,-0.11483317613601685,-0.20688052475452423,-0.06769656389951706,0.08401171118021011,-0.34474125504493713,0.049924664199352264
abaya | ornate->plain,0.23873572051525116,0.19658450782299042,0.3728415369987488,0.15181857347488403,0.1496870517730713,0.21900632977485657,0.21139687299728394,-0.038618214428424835
abaya | script->image,0.29737186431884766,0.2970564067363739,0.31073838472366333,0.08333990722894669,0.2948678135871887,0.3600555956363678,0.17795301973819733,0.23608556389808655
abaya | uniform->personalized,-0.05210665613412857,0.10798126459121704,-0.0519377738237381,0.0009080767631530762,-0.11677137017250061,0.12562072277069092,-0.056078001856803894,0.04417487978935242
abaya | veiled->unveiled,-0.2834590673446655,-0.24978475272655487,-0.14605370163917542,-0.1748429834842682,0.09397491812705994,0.01075756549835205,0.021219581365585327,-0.20922216773033142
abaya | white->red,0.22316433489322662,0.16754448413848877,0.13264639675617218,0.07718037068843842,0.46649792790412903,0.15609419345855713,0.046200111508369446,0.040792256593704224
abbey | ancestor->novelty,-0.07332927733659744,-0.29110032320022583,-0.2527322769165039,0.07759377360343933,-0.26977604627609253,0.14747148752212524,0.08991555124521255,-0.22365601360797882
abbey | black->gold,0.23070144653320312,-0.059469327330589294,-0.13421818614006042,-0.0020640939474105835,0.00575922429561615,0.03041088581085205,0.17296433448791504,0.00837649405002594
abbey | dragon->eagle,-0.045664820820093155,-0.15056288242340088,0.09303921461105347,0.20653364062309265,0.1505374312400818,0.1965693235397339,-0.014752235263586044,-0.04781563580036163
abbey | fasting->feasting,0.08382704854011536,0.011450693011283875,-0.04206298291683197,0.015536710619926453,-0.09831231832504272,0.1976698786020279,-0.03961227834224701,0.114657923579216
abbey | lotus->rose,0.09501008689403534,-0.010621830821037292,0.18648649752140045,-0.12374734878540039,-0.044809430837631226,-0.05054815113544464,-0.11621604859828949,-0.1822311282157898
abbey | lunar->solar,0.13130098581314087,0.0029565617442131042,0.171998530626297,0.1775270253419876,-0.009772069752216339,0.18948101997375488,0.23090822994709015,0.24730351567268372
abbey | mourning->celebration,-0.03175605833530426,0.07152190804481506,-0.18052423000335693,0.04477305710315704,0.040371090173721313,-0.23744432628154755,0.10792581737041473,0.178282231092453
abbey | pilgrim->spectator,-0.17214688658714294,-0.13702483475208282,-0.16544383764266968,-0.23101821541786194,-0.06918884813785553,-0.040034398436546326,-0.0975228101015091,-0.0073350220918655396
abbey | pilgrimage->tourism,-0.4038695693016052,-0.20956987142562866,-0.1882646679878235,-0.3581588864326477,-0.08842506259679794,0.19324801862239838,-0.05546626076102257,-0.024130865931510925
abbey | prayer->reason,-0.03320421278476715,-0.054643355309963226,-0.06581925600767136,-0.05628281086683273,-0.08441948145627975,0.030246451497077942,-0.07983178645372391,0.19587305188179016
abbey | ritual->routine,-0.35697507858276367,-0.19852863252162933,-0.30671602487564087,-0.4272916615009308,-0.17917563021183014,-0.13510973751544952,-0.5179356932640076,-0.027412712574005127
abbey | sacred->secular,0.28023189306259155,0.44371485710144043,0.35732460021972656,0.24337276816368103,0.12303516268730164,-0.08574894070625305,0.1612774133682251,0.2562323212623596
abbey | script->image,0.41652196645736694,0.3580901026725769,0.2452520728111267,0.049610063433647156,0.3272492289543152,0.29733341932296753,0.21218039095401764,0.36282816529273987
abbey | taboo->permissive,0.15472689270973206,-0.013506889343261719,-0.16192024946212769,0.0912833958864212,-0.058321163058280945,0.020856551826000214,-0.33997011184692383,-0.016666024923324585
abbey | white->red,0.2919975519180298,0.11664634943008423,0.08099301159381866,0.09306605160236359,0.36765870451927185,0.1538848578929901,-0.015674598515033722,-0.016936980187892914
acculturation | assimilation->pluralism,-0.03196512162685394,-0.22613045573234558,0.0035399794578552246,-0.19963322579860687,-0.25166699290275574,-0.32034534215927124,-0.364850789308548,-0.22939062118530273
