probe_axis,ZH,FR,FAS,NLD,UKR,BUL,IND,DEU
abaya | black->gold,0.10504680871963501,-0.1590169221162796,-0.357143372297287,-0.14245250821113586,-0.3195251524448395,-0.12506112456321716,0.1166767030954361,-0.27465304732322693
abaya | dragon->eagle,-0.17056533694267273,0.04578842222690582,0.2300729751586914,-0.08813341706991196,0.24690470099449158,0.12196160852909088,-0.027347274124622345,0.27092090249061584
abaya | formal->casual,-0.1072121262550354,0.08839589357376099,-0.08716637641191483,0.27975037693977356,0.032149553298950195,-0.060574088245630264,0.12298960238695145,-0.24429665505886078
abaya | lotus->rose,0.4858194589614868,0.13344278931617737,0.526324987411499,0.3068345785140991,0.201470285654068,0.16144347190856934,0.06567367911338806,0.2416185736656189
abaya | modest->revealing,-0.13090428709983826,0.11593222618103027,-0.014459093101322651,-0.22615677118301392,0.2416275441646576,0.13009211421012878,-0.16161862015724182,0.11032208800315857
abaya | ornate->plain,0.4875417947769165,0.2265673726797104,0.4905639588832855,0.3053268790245056,0.03159128129482269,0.3971707820892334,0.12976928055286407,0.2365780472755432
abaya | script->image,0.15047328174114227,0.14620010554790497,0.12409430742263794,-0.08732691407203674,0.23835207521915436,0.4051375985145569,0.013074353337287903,0.19965076446533203
abaya | uniform->personalized,-0.016218893229961395,0.43212905526161194,0.1078285351395607,0.1585252285003662,0.14083240926265717,0.29348084330558777,-0.054572656750679016,0.257942795753479
abaya | veiled->unveiled,0.09697457402944565,0.2022649645805359,0.1804618388414383,0.24099433422088623,0.4495652914047241,0.5709174871444702,0.3725750744342804,0.3821685314178467
abaya | white->red,0.012577034533023834,-0.18437537550926208,-0.013069742359220982,-0.2819986939430237,0.20061996579170227,0.0016892310231924057,-0.24233993887901306,-0.324926495552063
abbey | ancestor->novelty,0.02005370706319809,-0.1191549226641655,-0.13393090665340424,0.1960609406232834,-0.14729633927345276,0.22488099336624146,-0.05051018297672272,-0.06682737171649933
abbey | black->gold,0.17768067121505737,-0.22281861305236816,-0.29162347316741943,-0.33297377824783325,-0.10839284956455231,0.0565623939037323,0.10088688135147095,-0.20003896951675415
abbey | dragon->eagle,-0.01202208362519741,0.07572868466377258,0.14901207387447357,0.1872430443763733,0.12514200806617737,0.25577807426452637,-0.0723235160112381,0.07205758988857269
abbey | fasting->feasting,-0.41151583194732666,-0.35815805196762085,-0.2650398015975952,-0.5164845585823059,-0.2679397463798523,0.15655313432216644,-0.07908211648464203,-0.23094166815280914
abbey | lotus->rose,0.39273694157600403,0.09280233085155487,0.4355873465538025,0.3325963616371155,0.21355170011520386,0.16640432178974152,0.0703573003411293,0.009600542485713959
abbey | lunar->solar,0.03924860060214996,-0.1495954841375351,0.07844799757003784,0.06189420819282532,-0.11824030429124832,0.2618177831172943,0.21192456781864166,0.17494957149028778
abbey | mourning->celebration,0.04141530394554138,0.22386761009693146,-0.07225116342306137,0.24794289469718933,0.20553551614284515,-0.15660187602043152,0.370565801858902,0.27943289279937744
abbey | pilgrim->spectator,-0.030327416956424713,0.003695666790008545,0.03897280991077423,0.0448877215385437,0.1435103714466095,0.24819928407669067,0.3483744263648987,0.24260962009429932
abbey | pilgrimage->tourism,-0.29874029755592346,-0.3982771635055542,-0.06013656407594681,-0.27623623609542847,-0.018212132155895233,0.3147950768470764,-0.11210039258003235,0.061441801488399506
abbey | prayer->reason,0.008263155817985535,-0.0030042827129364014,0.03757191821932793,-0.06296410411596298,0.023911435157060623,0.09529173374176025,-0.10691001266241074,0.2019328773021698
abbey | ritual->routine,-0.1355859488248825,-0.14054183661937714,0.008645940572023392,-0.35323959589004517,0.2725192904472351,0.2255813479423523,0.10786278545856476,0.31826144456863403
abbey | sacred->secular,0.06825936585664749,0.14862900972366333,0.18306246399879456,-0.16871950030326843,0.023409459739923477,-0.18550905585289001,0.13866828382015228,0.24125614762306213
abbey | script->image,0.1878429800271988,0.09439034759998322,0.032336167991161346,-0.18095356225967407,0.2917114794254303,0.24098829925060272,0.08882935345172882,0.11920705437660217
abbey | taboo->permissive,0.1806865930557251,-0.06271283328533173,-0.11612395942211151,-0.16804242134094238,-0.11907321959733963,0.11643087863922119,-0.6449405550956726,-0.1607496440410614
abbey | white->red,0.3620683550834656,-0.250779926776886,-0.03988734632730484,-0.3906899690628052,0.006200224161148071,0.08165597915649414,-0.5443581938743591,-0.1900576651096344
acculturation | assimilation->pluralism,0.235376238822937,0.020450802519917488,0.28289106488227844,0.17909707129001617,0.005884326994419098,-0.21795102953910828,-0.07491768896579742,-0.10849315673112869
acculturation | authority->deliberation,-0.4514693021774292,-0.05029726028442383,-0.3023792803287506,-0.1742883026599884,-0.07797276228666306,0.01601317524909973,-0.5009613633155823,-0.20165318250656128
acculturation | certainty->ambiguity,0.011970069259405136,-0.10176516324281693,-0.26990580558776855,0.16003400087356567,0.025065306574106216,0.5476986169815063,-0.3327592611312866,-0.18879282474517822
acculturation | conformity->dissent,-0.010412671603262424,-0.20032401382923126,-0.11333365738391876,0.031764231622219086,-0.05868561193346977,0.18012818694114685,0.3017599582672119,-0.05787527561187744
acculturation | customary->codified,-0.4687289893627167,-0.16498152911663055,-0.5252215266227722,-0.050361353904008865,-0.19555196166038513,-0.114540696144104,-0.4900897145271301,-0.2892880439758301
acculturation | democracy->monarchy,-0.06745460629463196,0.0013630539178848267,0.05977262184023857,0.14061978459358215,0.36661481857299805,0.2510073781013489,0.35148733854293823,-0.12662462890148163
acculturation | duty->freedom,-0.12741178274154663,0.02289251983165741,-0.25242647528648376,0.13940557837486267,-0.04707688093185425,-0.35191044211387634,-0.15926659107208252,-0.15998521447181702
acculturation | federal->centralized,-0.10260628163814545,-0.3301703929901123,-0.24772965908050537,-0.11890153586864471,0.23250102996826172,-0.020824484527111053,-0.3013952970504761,-0.09558740258216858
acculturation | hierarchy->equality,-0.036316514015197754,0.013895228505134583,0.015706226229667664,0.018438249826431274,0.14595071971416473,0.171260803937912,-0.1426774263381958,0.03548219054937363
acculturation | homeland->migration,-0.2706969380378723,0.1628662347793579,0.11391440033912659,-0.10647198557853699,-0.15724004805088043,-0.14157025516033173,-0.029959794133901596,0.006256191059947014
acculturation | honor->shame,0.009670600295066833,0.17514096200466156,-0.16237662732601166,0.16090597212314606,-0.002211742103099823,0.12337978184223175,-0.07102414965629578,-0.1145552545785904
acculturation | indigenous->diaspora,-0.21618805825710297,-0.3616520166397095,-0.5068134665489197,-0.3662757873535156,-0.3009651303291321,-0.24949060380458832,-0.6610093712806702,-0.3148541748523712
acculturation | individualism->collectivism,0.07993700355291367,0.027656927704811096,0.3013067841529846,0.03579382598400116,0.45718055963516235,0.36799490451812744,0.42267999053001404,0.36141061782836914
acculturation | local->global,-0.0829818844795227,0.024413898587226868,-0.18451835215091705,-0.13257986307144165,-0.4004959464073181,-0.08055154234170914,-0.24113023281097412,-0.26578742265701294
acculturation | majority->minority,0.1371346414089203,-0.019192004576325417,0.05786103382706642,-0.24242812395095825,0.007390223443508148,0.12751543521881104,-0.35121503472328186,0.07331067323684692
acculturation | obedience->autonomy,-0.0825095996260643,0.04390175640583038,0.20555320382118225,-0.30160588026046753,0.10134319216012955,0.23786097764968872,-0.2517925202846527,-0.22169959545135498
acculturation | patronage->meritocracy,0.15559138357639313,0.002443067729473114,0.09937743842601776,0.23923000693321228,0.31664249300956726,0.14962001144886017,0.1772412806749344,0.04908072203397751
acculturation | restraint->indulgence,-0.21414558589458466,0.12707290053367615,-0.1280960589647293,0.06514528393745422,-0.4397967457771301,-0.305341511964798,-0.4756114184856415,-0.012439236044883728
acculturation | solidarity->competition,-0.14273178577423096,0.10367576777935028,0.055106762796640396,0.24848172068595886,0.10535721480846405,0.33627259731292725,0.18285506963729858,0.14802901446819305
acculturation | tradition->modernity,0.15177403390407562,0.06820790469646454,0.2520097494125366,0.18429861962795258,0.04551064223051071,-0.3094276189804077,0.047596752643585205,0.22075167298316956
administration | assimilation->pluralism,-0.4865097105503082,-0.14457720518112183,-0.43877989053726196,-0.2505911886692047,-0.43255287408828735,-0.5048639178276062,-0.4547553062438965,-0.4430679976940155
administration | authority->deliberation,0.1489698439836502,0.6086406707763672,0.2173033207654953,-0.1396501660346985,0.23451077938079834,0.4005002975463867,0.35826557874679565,0.22429528832435608
administration | customary->codified,-0.15943694114685059,-0.08991213142871857,-0.03921902924776077,-0.12227509915828705,0.1369432806968689,0.12175686657428741,0.07276178896427155,0.02623303234577179
administration | democracy->monarchy,-0.0034904778003692627,0.321937620639801,0.024449624121189117,-0.014876480214297771,0.06491399556398392,0.013476058840751648,0.32735109329223633,0.16894188523292542
administration | federal->centralized,-0.14355352520942688,-0.11003768444061279,0.08711008727550507,0.07900629937648773,0.21809110045433044,-0.0943480134010315,-0.3181686997413635,0.07392394542694092
administration | homeland->migration,0.31156420707702637,0.15767459571361542,0.2805943787097931,-0.21348118782043457,0.24239706993103027,-0.1264602392911911,-0.06478278338909149,0.08613824844360352
administration | indigenous->diaspora,-0.28330934047698975,-0.20918045938014984,-0.019125182181596756,-0.1847791224718094,-0.18971996009349823,-0.16205666959285736,-0.3042473793029785,-0.03451383858919144
administration | local->global,-0.12993036210536957,0.08478504419326782,-0.0723993107676506,0.03956368938088417,-0.10638134926557541,0.06037429720163345,-0.1731325089931488,-0.27165597677230835
administration | majority->minority,0.03296197950839996,0.12160040438175201,-0.07677990198135376,-0.1414152830839157,0.15077215433120728,0.011196121573448181,-0.27111250162124634,-0.1456514596939087
administration | patronage->meritocracy,-0.15078821778297424,-0.4798523187637329,-0.1332263946533203,-0.1373632550239563,-0.10239648073911667,-0.12210169434547424,-0.36885908246040344,-0.15881243348121643
advent | ancestor->novelty,0.2863078713417053,0.04069412872195244,0.026689281687140465,-0.19860485196113586,-0.1474660336971283,-0.00532187893986702,-0.1674388349056244,0.13310033082962036
advent | black->gold,0.1304401457309723,-0.0455407053232193,-0.21177026629447937,-0.1203417181968689,-0.16231411695480347,0.11521866917610168,0.03918646275997162,-0.42717263102531433
advent | dragon->eagle,-0.1619756519794464,0.28787994384765625,-0.047263022512197495,-0.29283422231674194,0.3822098672389984,0.0425519123673439,0.0287235789000988,0.11688640713691711
advent | fasting->feasting,-0.06779654324054718,-0.4106251895427704,0.10802462697029114,-0.15392737090587616,-0.055218517780303955,0.26911258697509766,0.5075672268867493,-0.28175854682922363
advent | lotus->rose,0.2930583953857422,-0.03556140512228012,0.06302843987941742,0.3285213112831116,0.33108651638031006,0.17609597742557526,0.12833087146282196,0.31849735975265503
advent | lunar->solar,0.13745735585689545,-0.3047768771648407,0.11844184994697571,-0.05576340854167938,-0.04194885119795799,0.4704935848712921,-0.03718172758817673,-0.06783333420753479
advent | mourning->celebration,-0.20322558283805847,-0.11281642317771912,-0.11292728036642075,0.2500670552253723,0.1803593635559082,-0.2313002198934555,0.15830615162849426,-0.02552473172545433
