baseline,language,model_b,repr_type,subset_size,draw,jaccard_at_k_mean,frobenius_cultural_similarity,axis_abs_projection_diff_mean,anchor_residual_per_anchor
en_100m,BUL,en_bul_a,embedding_matrix,500,0,0.6259277138578704,0.11540979766845703,0.14731739789247514,0.07790523529052734
en_100m,BUL,en_bul_a,embedding_matrix,500,1,0.6259277138578704,0.1154097900390625,0.14731740191578865,0.07936215209960938
en_100m,BUL,en_bul_a,embedding_matrix,500,2,0.6259277138578704,0.1154097900390625,0.14731739073991776,0.07774407958984375
en_100m,BUL,en_bul_a,embedding_matrix,500,3,0.6259277138578704,0.11540979766845703,0.14731740683317185,0.07866606140136718
en_100m,BUL,en_bul_a,embedding_matrix,500,4,0.6259277138578704,0.1154097900390625,0.14731741428375245,0.07843104553222656
en_100m,BUL,en_bul_a,embedding_matrix,1000,0,0.6259277138578704,0.1154097900390625,0.1473173987865448,0.06422737884521484
en_100m,BUL,en_bul_a,embedding_matrix,1000,1,0.6259277138578704,0.11540979766845703,0.14731740489602088,0.06440172576904298
en_100m,BUL,en_bul_a,embedding_matrix,1000,2,0.6259277138578704,0.1154097900390625,0.1473174075782299,0.06408065032958984
en_100m,BUL,en_bul_a,embedding_matrix,1000,3,0.6259277138578704,0.11540979766845703,0.14731741994619368,0.0639394187927246
en_100m,BUL,en_bul_a,embedding_matrix,1000,4,0.6259277138578704,0.1154097900390625,0.14731739059090615,0.06445307159423828
en_100m,BUL,en_bul_a,embedding_matrix,2000,0,0.6259277138578704,0.11540979766845703,0.14731741189956665,0.0503550910949707
en_100m,BUL,en_bul_a,embedding_matrix,2000,1,0.6259277138578704,0.11540979766845703,0.147317406386137,0.050439338684082034
en_100m,BUL,en_bul_a,embedding_matrix,2000,2,0.6259277138578704,0.1154097900390625,0.14731739804148675,0.05046723556518555
en_100m,BUL,en_bul_a,embedding_matrix,2000,3,0.6259277138578704,0.11540979766845703,0.14731740742921828,0.050440181732177736
en_100m,BUL,en_bul_a,embedding_matrix,2000,4,0.6259277138578704,0.1154097900390625,0.14731741845607757,0.05047765350341797
en_100m,BUL,en_bul_a,embedding_matrix,3000,0,0.6259277138578704,0.1154097900390625,0.14731740862131118,0.04285727945963542
en_100m,BUL,en_bul_a,embedding_matrix,3000,1,0.6259277138578704,0.1154097900390625,0.14731740862131118,0.04285727945963542
en_100m,BUL,en_bul_a,embedding_matrix,3000,2,0.6259277138578704,0.1154097900390625,0.14731740862131118,0.04285727945963542
en_100m,BUL,en_bul_a,embedding_matrix,3000,3,0.6259277138578704,0.1154097900390625,0.14731740862131118,0.04285727945963542
en_100m,BUL,en_bul_a,embedding_matrix,3000,4,0.6259277138578704,0.1154097900390625,0.14731740862131118,0.04285727945963542
en_100m,DEU,en_deu_a,embedding_matrix,500,0,0.6416284936533048,0.11626559448242188,0.14973313346505165,0.08052113342285157
en_100m,DEU,en_deu_a,embedding_matrix,500,1,0.6416284936533048,0.11626558685302735,0.14973312824964524,0.07956674194335937
en_100m,DEU,en_deu_a,embedding_matrix,500,2,0.6416284936533048,0.11626557922363281,0.149733117967844,0.08024382781982421
en_100m,DEU,en_deu_a,embedding_matrix,500,3,0.6416284936533048,0.11626558685302735,0.14973312571644784,0.07994345855712891
en_100m,DEU,en_deu_a,embedding_matrix,500,4,0.6416284936533048,0.11626559448242188,0.14973312437534333,0.07963204193115235
en_100m,DEU,en_deu_a,embedding_matrix,1000,0,0.6416284936533048,0.11626558685302735,0.14973312094807625,0.06540232849121094
en_100m,DEU,en_deu_a,embedding_matrix,1000,1,0.6416284936533048,0.11626557922363281,0.14973312124609947,0.06565332794189453
en_100m,DEU,en_deu_a,embedding_matrix,1000,2,0.6416284936533048,0.11626557922363281,0.14973312944173814,0.0653473663330078
en_100m,DEU,en_deu_a,embedding_matrix,1000,3,0.6416284936533048,0.11626557922363281,0.14973312467336655,0.06543009948730469
en_100m,DEU,en_deu_a,embedding_matrix,1000,4,0.6416284936533048,0.11626558685302735,0.1497331240773201,0.06608717346191406
en_100m,DEU,en_deu_a,embedding_matrix,2000,0,0.6416284936533048,0.11626559448242188,0.14973313719034195,0.05135319900512696
en_100m,DEU,en_deu_a,embedding_matrix,2000,1,0.6416284936533048,0.11626558685302735,0.14973312586545945,0.051319976806640626
en_100m,DEU,en_deu_a,embedding_matrix,2000,2,0.6416284936533048,0.11626558685302735,0.14973312899470329,0.05145192337036133
en_100m,DEU,en_deu_a,embedding_matrix,2000,3,0.6416284936533048,0.11626558685302735,0.14973313376307487,0.05128133010864258
en_100m,DEU,en_deu_a,embedding_matrix,2000,4,0.6416284936533048,0.11626557922363281,0.14973311766982078,0.051502342224121096
en_100m,DEU,en_deu_a,embedding_matrix,3000,0,0.6416284936533048,0.11626558685302735,0.1497331178188324,0.043681660970052084
en_100m,DEU,en_deu_a,embedding_matrix,3000,1,0.6416284936533048,0.11626558685302735,0.1497331178188324,0.043681660970052084
en_100m,DEU,en_deu_a,embedding_matrix,3000,2,0.6416284936533048,0.11626558685302735,0.1497331178188324,0.043681660970052084
en_100m,DEU,en_deu_a,embedding_matrix,3000,3,0.6416284936533048,0.11626558685302735,0.1497331178188324,0.043681660970052084
en_100m,DEU,en_deu_a,embedding_matrix,3000,4,0.6416284936533048,0.11626558685302735,0.1497331178188324,0.043681660970052084
en_100m,FAS,en_fas_a,embedding_matrix,500,0,0.6704046578510177,0.14057846069335939,0.16776698738336562,0.08458759307861329
en_100m,FAS,en_fas_a,embedding_matrix,500,1,0.6704046578510177,0.14057846069335939,0.16776699036359788,0.08547396087646485
en_100m,FAS,en_fas_a,embedding_matrix,500,2,0.6704046578510177,0.14057846069335939,0.16776697784662248,0.08511099243164062
en_100m,FAS,en_fas_a,embedding_matrix,500,3,0.6704046578510177,0.14057846069335939,0.16776698619127273,0.08534311676025391
en_100m,FAS,en_fas_a,embedding_matrix,500,4,0.6704046578510177,0.14057846069335939,0.1677669808268547,0.08455778503417968
en_100m,FAS,en_fas_a,embedding_matrix,1000,0,0.6704046578510177,0.14057846069335939,0.16776698172092439,0.06895770263671876
en_100m,FAS,en_fas_a,embedding_matrix,1000,1,0.6704046578510177,0.14057846069335939,0.1677669858932495,0.06845148468017578
en_100m,FAS,en_fas_a,embedding_matrix,1000,2,0.6704046578510177,0.14057846069335939,0.1677669784426689,0.0689609146118164
en_100m,FAS,en_fas_a,embedding_matrix,1000,3,0.6704046578510177,0.14057846069335939,0.16776697903871537,0.06891814422607422
