language,repr_type,daxis_50m,daxis_100m,delta_100m_minus_50m,relative_change_pct
BUL,embedding_matrix,0.0122144559025764,-0.0019126358628273,-0.0141270917654037,-115.65878888165513
BUL,pre_lmhead_contextual,0.0540127392609912,0.4732507276535038,0.4192379883925126,776.1835339747201
DEU,embedding_matrix,0.0178388203680515,0.0005030751228332,-0.0173357452452183,-97.17988570738575
DEU,pre_lmhead_contextual,0.3171677418549854,0.6199946665763858,0.3028269247214004,95.4784755064587
FAS,embedding_matrix,0.0306754082441329,0.0185369311273097,-0.012138477116823199,-39.5707109102447
FAS,pre_lmhead_contextual,0.2458038731416065,0.7255416655540472,0.4797377924124407,195.17096548599375
FR,embedding_matrix,0.012582634538412,-0.0053338254988193,-0.0179164600372313,-142.39037128938548
FR,pre_lmhead_contextual,0.108239960273107,0.4665270066261295,0.3582870463530225,331.01180511246133
IND,embedding_matrix,0.0144509749114513,-0.0005375401675701,-0.0149885150790214,-103.71975019584416
IND,pre_lmhead_contextual,0.1070198984940846,0.3689316558837894,0.2619117573897048,244.73183125302785
NLD,embedding_matrix,0.0179823760688304,0.0022756011784076,-0.0157067748904228,-87.3453810013906
NLD,pre_lmhead_contextual,0.1445798226197565,0.2595150947570803,0.1149352721373238,79.4960666396738
UKR,embedding_matrix,0.0348253823816776,0.0179354555904865,-0.016889926791191102,-48.498898321005264
UKR,pre_lmhead_contextual,0.5822120376427962,0.939985439777375,0.35777340213457887,61.45070507011454
ZH,embedding_matrix,0.0360449585318565,0.0183290447294711,-0.017715913802385398,-49.1494914239618
ZH,pre_lmhead_contextual,0.1716634984811147,0.5918374943733218,0.42017399589220705,244.76606827305912
BUL,ratio_ctx_over_emb,4.422033997404524,473250727653.5038,473250727649.0817,10702105138197.768
DEU,ratio_ctx_over_emb,17.779636506852107,1232.4097106704912,1214.6300741636392,6831.579901509977
FAS,ratio_ctx_over_emb,8.013059555242267,39.140333454933995,31.12727389969173,388.4567896332156
FR,ratio_ctx_over_emb,8.602328863853938,466527006626.1295,466527006617.52716,5423264025371.357
IND,ratio_ctx_over_emb,7.40572170042863,368931655883.7894,368931655876.3837,4981711044516.169
NLD,ratio_ctx_over_emb,8.040084473061528,114.04243292696898,106.00234845390746,1318.4233176786956
UKR,ratio_ctx_over_emb,16.71803718511676,52.40934276996963,35.69130558485287,213.489808580083
ZH,ratio_ctx_over_emb,4.762482895614894,32.28959845472534,27.52711555911045,577.99925296228
