language,eval_repr,mean_axis_abs,std_axis_abs,mean_axis_signed,n_pairs
EN-100M,embedding_matrix,0.15016257551809145,0.0018882249584594528,0.00126121508801585,6
EN-100M,pre_lmhead_contextual,3.2037400329113006,0.2954917949085344,-0.2972947876093288,6
EN-50M,embedding_matrix,0.11297987103462215,0.001501537956309314,0.00024080717208560003,6
EN-50M,pre_lmhead_contextual,2.2584275837739307,0.18184790702876757,-0.04028566638783864,6
