baseline,condition,n_cases,n_probe_axes,n_templates,contextual_sign_agreement,embedding_sign_agreement,contextual_abs_rho,contextual_abs_p,embedding_abs_rho,embedding_abs_p,delta_abs_rho,delta_abs_rho_ci_low,delta_abs_rho_ci_high,mean_abs_output_shift,template_sign_consistency
en_100m,random,1600,200,5,0.49029430181590483,0.5635566687539136,0.0005627216918934108,0.9820560693257865,-0.03427169210248823,0.17062485003987246,0.034834413794381645,-0.05729118451275028,0.127725932911153,0.9652078475952147,0.7633688165309955
en_100m,theory,1600,200,5,0.544375,0.539375,-0.008130590822788452,0.7452001201386758,-0.0004529271931578764,0.9855567408603715,-0.0076776636296305755,-0.10489912702859532,0.08688211995816503,0.8950979881286623,0.7605624999999999
en_50m,random,1600,200,5,0.5065666041275797,0.517198248905566,-0.0449814318885166,0.07205640683569767,0.012711650523853426,0.61139081268641,-0.05769308241237003,-0.12989801004928947,0.020889956401995403,0.8506776809692382,0.7651657285803627
en_50m,theory,1600,200,5,0.5290806754221389,0.5190744215134458,-0.001077783283032385,0.9656396346827533,0.02738119969129303,0.27369312697429027,-0.028458982974325416,-0.10843960176616588,0.05377928569111847,0.8699309654235841,0.7732332707942464
all,random,3200,200,5,0.49843554443053817,0.5403629536921152,-0.010308839009512407,0.5599312348735171,-0.004518104004885834,0.798349294132114,-0.0057907350046265725,-0.06491167235630577,0.0520262638833325,0.9079427642822264,0.7642678347934918
all,theory,3200,200,5,0.5367302281963113,0.5292278837136605,-0.0028781818263280477,0.8707142718575571,0.013702872616178299,0.4384075800076911,-0.016581054442506345,-0.08063424890314537,0.04999768629542359,0.882514476776123,0.7668959049703032
