model_a,model_b,eval_repr,alignment_method,alignment_source,anchor_residual_fro,anchor_residual_per_anchor,jaccard_at_k_mean,frobenius_cultural_similarity,axis_abs_projection_diff_mean,axis_signed_projection_diff_mean
en_100m,en_bul_a,embedding_matrix,affine,embedding_matrix,88.14079284667969,0.0293802642822265,0.08556522605371941,0.04515392049153642,-0.007031054645776774,0.0001227051950991
en_100m,en_deu_a,embedding_matrix,affine,embedding_matrix,91.13912200927734,0.0303797073364257,0.08804889625758805,0.04194180806477864,-0.008316404372453678,-4.7766272909939286e-05
en_100m,en_fas_a,embedding_matrix,affine,embedding_matrix,88.30765533447266,0.0294358851114908,0.13240231366229072,0.09222957356770832,0.012105762958526528,0.0031886456022039
en_100m,en_fr_a,embedding_matrix,affine,embedding_matrix,95.21946716308594,0.0317398223876953,0.06579512578526492,0.027109715779622442,-0.011310543864965467,0.0116337495611514
en_100m,en_ind_a,embedding_matrix,affine,embedding_matrix,91.64944458007812,0.030549814860026,0.07799833177712401,0.033640706380208316,-0.004556659609079361,0.0060773175825306
en_100m,en_nld_a,embedding_matrix,affine,embedding_matrix,92.53077697753906,0.0308435923258463,0.09046568717525072,0.04761076863606774,0.0006238178908824221,-0.0019468866084707
en_100m,en_ukr_a,embedding_matrix,affine,embedding_matrix,88.67880249023438,0.0295596008300781,0.13601234180925048,0.08084491475423174,0.021843923777341817,0.0155808661540504
en_100m,en_zh_a,embedding_matrix,affine,embedding_matrix,88.04025268554688,0.0293467508951822,0.13243939863420695,0.08251790364583332,0.017488947063684424,-0.0132689368072897
en_50m,en_bul_a,embedding_matrix,affine,embedding_matrix,87.30469512939453,0.0291015650431315,0.07731391443235913,0.042039042154947956,0.031190380305051738,0.0094251482590334
en_50m,en_deu_a,embedding_matrix,affine,embedding_matrix,90.16622924804688,0.0300554097493489,0.09042461470107632,0.03722980753580733,0.029891163408756236,0.000475473931292
en_50m,en_fas_a,embedding_matrix,affine,embedding_matrix,87.36467742919922,0.0291215591430664,0.11898527053157204,0.08588814798990883,0.057417831420898444,0.0009470284124836
en_50m,en_fr_a,embedding_matrix,affine,embedding_matrix,94.47872161865234,0.0314929072062174,0.05786606792152482,0.022221338907877655,0.023898943364620243,0.0074067386449314
en_50m,en_ind_a,embedding_matrix,affine,embedding_matrix,90.86920166015624,0.0302897338867187,0.07420887175527047,0.03273241678873705,0.028286942392587625,0.0083899521711282
en_50m,en_nld_a,embedding_matrix,affine,embedding_matrix,91.72613525390624,0.0305753784179687,0.07110095149544371,0.03816108194986985,0.03165024906396864,0.0058933457056991
en_50m,en_ukr_a,embedding_matrix,affine,embedding_matrix,87.62759399414062,0.0292091979980468,0.11949815668345987,0.07772168986002605,0.06103660732507703,0.0264435314433649
en_50m,en_zh_a,embedding_matrix,affine,embedding_matrix,87.15272521972656,0.0290509084065755,0.12991511069879003,0.08657462565104164,0.05304662719368934,0.0036926432000473
en_100m,en_bul_a,embedding_matrix,orthogonal,embedding_matrix,128.57220458984375,0.0428574015299479,0.013061009836443871,0.006069043477376329,-0.001912647634744663,-0.0089860317669808
en_100m,en_deu_a,embedding_matrix,orthogonal,embedding_matrix,131.04554748535156,0.0436818491617838,0.028761789631878254,0.006924832661946628,0.0005030706524848383,-0.0098353754309937
en_100m,en_fas_a,embedding_matrix,orthogonal,embedding_matrix,136.19740295410156,0.0453991343180338,0.05753795382959115,0.031237752278645822,0.018536935597658122,-0.0201078703370876
en_100m,en_fr_a,embedding_matrix,orthogonal,embedding_matrix,131.24102783203125,0.0437470092773437,0.010115091547551747,-0.0026234003702799713,-0.005333832055330279,-0.0038794684258755
en_100m,en_ind_a,embedding_matrix,orthogonal,embedding_matrix,130.70359802246094,0.0435678660074869,0.021072640215314853,0.0038657353719075277,-0.0005375587940216753,-0.0001155534268764
en_100m,en_nld_a,embedding_matrix,orthogonal,embedding_matrix,131.78598022460938,0.0439286600748697,0.022473647072856484,0.006504529317220023,0.002275605648756035,-0.0083089242142159
en_100m,en_ukr_a,embedding_matrix,orthogonal,embedding_matrix,134.4864044189453,0.0448288014729817,0.053333103580968655,0.03384607442220054,0.017935449033975537,0.0045657498948276
en_100m,en_zh_a,embedding_matrix,orthogonal,embedding_matrix,135.8750457763672,0.0452916819254557,0.05761488304433271,0.03555815633138022,0.018329034447669923,-0.0224365226598456
en_50m,en_bul_a,embedding_matrix,orthogonal,embedding_matrix,109.87966918945312,0.0366265563964843,0.0029794721821903014,0.004615954081217441,0.012214458137750642,-0.002082854892069
en_50m,en_deu_a,embedding_matrix,orthogonal,embedding_matrix,112.64846801757812,0.0375494893391927,0.01797933439020094,0.003338129679362048,0.017838809639215428,-0.0029321940186491
en_50m,en_fas_a,embedding_matrix,orthogonal,embedding_matrix,116.12321472167967,0.0387077382405599,0.04694373152646525,0.02998087565104164,0.030675399303436227,-0.0132046830980107
en_50m,en_fr_a,embedding_matrix,orthogonal,embedding_matrix,114.5719985961914,0.0381906661987304,0.005163523464630115,-0.0036481450398762605,0.01258265122771264,0.0030237043229863
en_50m,en_ind_a,embedding_matrix,orthogonal,embedding_matrix,112.70257568359376,0.0375675252278645,0.017858736836190325,0.0031339518229166474,0.014450986236333827,0.0067876348737627
en_50m,en_nld_a,embedding_matrix,orthogonal,embedding_matrix,113.9719696044922,0.0379906565348307,0.008457520100329075,0.003771113077799551,0.017982380390167238,-0.0014057430764091
en_50m,en_ukr_a,embedding_matrix,orthogonal,embedding_matrix,114.54900360107422,0.038183001200358,0.041687143082788314,0.031129358927408854,0.034825386106967934,0.0114689348731189
en_50m,en_zh_a,embedding_matrix,orthogonal,embedding_matrix,115.6999740600586,0.0385666580200195,0.052940614702257194,0.03809868876139323,0.036044957339763636,-0.0155333406245335
en_100m,en_bul_a,embedding_matrix,orthogonal,pre_lmhead_contextual,646.7597045898438,0.2155865681966146,0.013061009836443871,0.006069051106770834,-0.0019126430153846852,-0.008986038393341
en_100m,en_deu_a,embedding_matrix,orthogonal,pre_lmhead_contextual,626.3099365234375,0.2087699788411458,0.028761789631878254,0.006924825032552123,0.0005030728876590229,-0.0098353752394905
en_100m,en_fas_a,embedding_matrix,orthogonal,pre_lmhead_contextual,688.6260986328125,0.2295420328776041,0.05753795382959115,0.031237752278645822,0.018536935299634932,-0.020107877778355
en_100m,en_fr_a,embedding_matrix,orthogonal,pre_lmhead_contextual,591.2974853515625,0.1970991617838541,0.010115091547551747,-0.0026233927408854663,-0.005333811640739483,-0.0038794746185885
en_100m,en_ind_a,embedding_matrix,orthogonal,pre_lmhead_contextual,616.2940673828125,0.2054313557942708,0.021072640215314853,0.0038657353719075277,-0.000537549555301664,-0.0001155537406157
en_100m,en_nld_a,embedding_matrix,orthogonal,pre_lmhead_contextual,642.9617309570312,0.214320576985677,0.022473647072856484,0.006504536946614528,0.0022756084799766263,-0.008308926342288
en_100m,en_ukr_a,embedding_matrix,orthogonal,pre_lmhead_contextual,648.8209838867188,0.2162736612955729,0.053333103580968655,0.03384607442220054,0.017935457378625813,0.0045657530915923
en_100m,en_zh_a,embedding_matrix,orthogonal,pre_lmhead_contextual,756.8860473632812,0.2522953491210937,0.05761488304433271,0.03555815633138022,0.01832903519272802,-0.0224365244433283
en_50m,en_bul_a,embedding_matrix,orthogonal,pre_lmhead_contextual,498.513916015625,0.1661713053385416,0.0029794721821903014,0.004615961710612043,0.012214457243680935,-0.002082853418542
en_50m,en_deu_a,embedding_matrix,orthogonal,pre_lmhead_contextual,494.7038879394531,0.1649012959798177,0.01797933439020094,0.003338137308756539,0.017838823646307025,-0.0029321901497314
en_50m,en_fas_a,embedding_matrix,orthogonal,pre_lmhead_contextual,527.4358520507812,0.1758119506835937,0.04694373152646525,0.02998087565104164,0.030675405412912346,-0.0132046831888146
en_50m,en_fr_a,embedding_matrix,orthogonal,pre_lmhead_contextual,462.5556335449219,0.1541852111816406,0.005163523464630115,-0.003648152669270849,0.012582640796899733,0.003023705035448
en_50m,en_ind_a,embedding_matrix,orthogonal,pre_lmhead_contextual,498.9393310546875,0.1663131103515625,0.017858736836190325,0.0031339441935221424,0.014450980871915833,0.0067876245139632
en_50m,en_nld_a,embedding_matrix,orthogonal,pre_lmhead_contextual,509.4915161132813,0.1698305053710937,0.008457520100329075,0.003771113077799551,0.017982380837202036,-0.0014057444371042
en_50m,en_ukr_a,embedding_matrix,orthogonal,pre_lmhead_contextual,517.039306640625,0.172346435546875,0.041687143082788314,0.031129358927408854,0.03482539311051365,0.0114689360931515
en_50m,en_zh_a,embedding_matrix,orthogonal,pre_lmhead_contextual,575.5457153320312,0.1918485717773437,0.052940614702257194,0.03809868876139323,0.036044951677322426,-0.0155333405779674
en_100m,en_bul_a,pre_lmhead_contextual,affine,embedding_matrix,88.14079284667969,0.0293802642822265,0.012034252094181408,0.11593956247965494,0.8333406090736388,-0.2656320519279688
en_100m,en_deu_a,pre_lmhead_contextual,affine,embedding_matrix,91.13912200927734,0.0303797073364257,0.024867983444785247,0.043724337259928345,0.4407807230949401,-0.0933923788368702
en_100m,en_fas_a,pre_lmhead_contextual,affine,embedding_matrix,88.30765533447266,0.0294358851114908,0.04299289275431595,0.08710492197672524,0.8860989785194402,-0.6956964403390884
en_100m,en_fr_a,pre_lmhead_contextual,affine,embedding_matrix,95.21946716308594,0.0317398223876953,0.01513444207767789,0.007303812662760437,1.001301317214966,-0.2530058552324772
en_100m,en_ind_a,pre_lmhead_contextual,affine,embedding_matrix,91.64944458007812,0.030549814860026,0.027689702406559658,0.06449191538492834,0.46617079973220843,0.035999703630805
en_100m,en_nld_a,pre_lmhead_contextual,affine,embedding_matrix,92.53077697753906,0.0308435923258463,0.019944556227805,0.044206591288248734,0.4113535380363471,0.1793768604844808
en_100m,en_ukr_a,pre_lmhead_contextual,affine,embedding_matrix,88.67880249023438,0.0295596008300781,0.036299834268915476,0.053355822245279946,0.9662730050086976,0.2312839718163013
en_100m,en_zh_a,pre_lmhead_contextual,affine,embedding_matrix,88.04025268554688,0.0293467508951822,0.062090864662773915,0.16628213755289717,0.9233686041831972,-0.1061049907654523
en_50m,en_bul_a,pre_lmhead_contextual,affine,embedding_matrix,87.30469512939453,0.0291015650431315,0.0012384256224048373,0.055718666076660164,0.2636289616425831,0.0247288151085376
en_50m,en_deu_a,pre_lmhead_contextual,affine,embedding_matrix,90.16622924804688,0.0300554097493489,0.019904484151966884,0.007535003662109366,0.35736942013104755,0.3322497269511222
en_50m,en_fas_a,pre_lmhead_contextual,affine,embedding_matrix,87.36467742919922,0.0291215591430664,0.038502277394711015,0.04709915924072265,0.5047416516145069,-0.3219240275770426
en_50m,en_fr_a,pre_lmhead_contextual,affine,embedding_matrix,94.47872161865234,0.0314929072062174,0.009374989235799824,-0.00297624969482424,0.38283159454663584,-0.0208281713351607
en_50m,en_ind_a,pre_lmhead_contextual,affine,embedding_matrix,90.86920166015624,0.0302897338867187,0.02706025053428618,0.03392536163330086,0.7120490094025929,0.1321014238148927
en_50m,en_nld_a,pre_lmhead_contextual,affine,embedding_matrix,91.72613525390624,0.0305753784179687,0.004353439865791953,0.01067382049560546,0.3967851181825002,0.1762168183922767
en_50m,en_ukr_a,pre_lmhead_contextual,affine,embedding_matrix,87.62759399414062,0.0292091979980468,0.035757262189017314,0.01714924621582037,0.5662524219353995,0.5805578782781958
en_50m,en_zh_a,pre_lmhead_contextual,affine,embedding_matrix,87.15272521972656,0.0290509084065755,0.048475846967915626,0.08503052520751957,0.16617916782697062,0.0372223074734211
en_100m,en_bul_a,pre_lmhead_contextual,orthogonal,embedding_matrix,128.57220458984375,0.0428574015299479,0.00017069240004785602,0.08684521738688154,0.47325168848037746,0.0366560707986354
en_100m,en_deu_a,pre_lmhead_contextual,orthogonal,embedding_matrix,131.04554748535156,0.0436818491617838,0.015276755374807993,0.030695376078287748,0.6199952292442319,0.0955735424160957
en_100m,en_fas_a,pre_lmhead_contextual,orthogonal,embedding_matrix,136.19740295410156,0.0453991343180338,0.029005690011191687,0.07604220835367832,0.7255416560173038,-0.4195929112285375
en_100m,en_fr_a,pre_lmhead_contextual,orthogonal,embedding_matrix,131.24102783203125,0.0437470092773437,0.005360406275272567,0.0006504542032877286,0.4665272760391237,-0.2017383873462677
en_100m,en_ind_a,pre_lmhead_contextual,orthogonal,embedding_matrix,130.70359802246094,0.0435678660074869,0.012955952011983518,0.05120926157633464,0.3689315414428713,-0.12518345028162
en_100m,en_nld_a,pre_lmhead_contextual,orthogonal,embedding_matrix,131.78598022460938,0.0439286600748697,0.006285977825074007,0.031428057352701835,0.25951629161834733,-0.0763063729181885
en_100m,en_ukr_a,pre_lmhead_contextual,orthogonal,embedding_matrix,134.4864044189453,0.0448288014729817,0.023468877280821032,0.035185640970865836,0.9399861359596255,0.2853462228178978
en_100m,en_zh_a,pre_lmhead_contextual,orthogonal,embedding_matrix,135.8750457763672,0.0452916819254557,0.050832075433804635,0.1302081171671549,0.5918368244171148,-0.176570439338684
en_50m,en_bul_a,pre_lmhead_contextual,orthogonal,embedding_matrix,109.87966918945312,0.0366265563964843,-0.008638823722800448,0.05123871612548826,0.05401331146558119,0.2214927002415061
en_50m,en_deu_a,pre_lmhead_contextual,orthogonal,embedding_matrix,112.64846801757812,0.0375494893391927,0.008295516531109381,0.007239410400390667,0.317167417605718,0.2804099901393055
en_50m,en_fas_a,pre_lmhead_contextual,orthogonal,embedding_matrix,116.12321472167967,0.0387077382405599,0.024856333388948992,0.04664537811279297,0.2458034535249074,-0.234756548628211
en_50m,en_fr_a,pre_lmhead_contextual,orthogonal,embedding_matrix,114.5719985961914,0.0381906661987304,-0.004234012879957616,-0.017711494445800738,0.10823950250943515,-0.0169016873091459
en_50m,en_ind_a,pre_lmhead_contextual,orthogonal,embedding_matrix,112.70257568359376,0.0375675252278645,0.01716421214260344,0.027233894348144563,0.10702031811078383,0.0596533875353634
en_50m,en_nld_a,pre_lmhead_contextual,orthogonal,embedding_matrix,113.9719696044922,0.0379906565348307,-0.0006079682106673312,0.00889643096923827,0.14457934578259746,0.1085301292502845
en_50m,en_ukr_a,pre_lmhead_contextual,orthogonal,embedding_matrix,114.54900360107422,0.038183001200358,0.024536028279368405,0.010978828430175766,0.5822118731339772,0.4701825604774058
en_50m,en_zh_a,pre_lmhead_contextual,orthogonal,embedding_matrix,115.6999740600586,0.0385666580200195,0.0384392800415313,0.09514005279541017,0.17166317661603303,0.0082671310007572
en_100m,en_bul_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,646.7597045898438,0.2155865681966146,0.00017069240004785602,0.08684521738688154,0.47325149536132827,0.0366573736071586
en_100m,en_deu_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,626.3099365234375,0.2087699788411458,0.015276755374807993,0.030695360819498627,0.619995050430298,0.0955730181932449
en_100m,en_fas_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,688.6260986328125,0.2295420328776041,0.029005690011191687,0.07604225413004555,0.7255409002304081,-0.4195931409299374
en_100m,en_fr_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,591.2974853515625,0.1970991617838541,0.005360406275272567,0.0006504618326822337,0.4665272307395938,-0.201739000827074
en_100m,en_ind_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,616.2940673828125,0.2054313557942708,0.012955952011983518,0.051209307352701836,0.3689328145980837,-0.1251827666163444
en_100m,en_nld_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,642.9617309570312,0.214320576985677,0.006285977825074007,0.03142802683512373,0.25951514482498217,-0.0763063225708901
