model_a,model_b,eval_repr,alignment_method,alignment_source,anchor_residual_fro,anchor_residual_per_anchor,jaccard_at_k_mean,frobenius_cultural_similarity,axis_abs_projection_diff_mean,axis_signed_projection_diff_mean
en_100m,en_ukr_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,648.8209838867188,0.2162736612955729,0.023468877280821032,0.03518565622965493,0.9399852609634398,0.2853467053920031
en_100m,en_zh_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,756.8860473632812,0.2522953491210937,0.050832075433804635,0.13020813242594403,0.5918360829353335,-0.1765696173906326
en_50m,en_bul_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,498.513916015625,0.1661713053385416,-0.008638823722800448,0.05123860931396486,0.05401281793912238,0.2214924000948667
en_50m,en_deu_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,494.7038879394531,0.1649012959798177,0.008295516531109381,0.007239448547363261,0.3171676631768543,0.2804105346277356
en_50m,en_fas_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,527.4358520507812,0.1758119506835937,0.024856333388948992,0.04664536285400396,0.24580380638440458,-0.2347560264170169
en_50m,en_fr_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,462.5556335449219,0.1541852111816406,-0.004234012879957616,-0.017711486816406233,0.10824048240979511,-0.0169019407778978
en_50m,en_ind_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,498.9393310546875,0.1663131103515625,0.01716421214260344,0.02723386383056646,0.10702003200848909,0.0596534540504217
en_50m,en_nld_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,509.4915161132813,0.1698305053710937,-0.0006079682106673312,0.008896453857421868,0.1445794840653738,0.1085297885895124
en_50m,en_ukr_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,517.039306640625,0.172346435546875,0.024536028279368405,0.010978828430175766,0.5822122879823048,0.4701824152842164
en_50m,en_zh_a,pre_lmhead_contextual,orthogonal,pre_lmhead_contextual,575.5457153320312,0.1918485717773437,0.0384392800415313,0.09514006805419926,0.1716633745034537,0.0082671773433685
