model_a,model_b,layer,head,axis_abs_projection_diff_mean
en_50m,en_fr_a,4,7,482.505817565918
en_50m,en_fr_a,4,8,749.547946472168
en_50m,en_fr_a,4,9,356.76923736572263
en_50m,en_fr_a,4,10,313.4351965332031
en_50m,en_fr_a,4,11,375.64386688232423
en_50m,en_fr_a,5,0,658.4757516479492
en_50m,en_fr_a,5,1,505.5090817260742
en_50m,en_fr_a,5,2,393.3009780883789
en_50m,en_fr_a,5,3,555.762066040039
en_50m,en_fr_a,5,4,438.0166946411133
en_50m,en_fr_a,5,5,985.0415567016602
en_50m,en_fr_a,5,6,458.9995391845703
en_50m,en_fr_a,5,7,492.840524597168
en_50m,en_fr_a,5,8,812.1432693481445
en_50m,en_fr_a,5,9,371.82508087158203
en_50m,en_fr_a,5,10,311.8893588256836
en_50m,en_fr_a,5,11,380.1126409912109
en_50m,en_fr_a,6,0,659.8118713378906
en_50m,en_fr_a,6,1,517.6218679809571
en_50m,en_fr_a,6,2,391.11664794921876
en_50m,en_fr_a,6,3,542.2088705444336
en_50m,en_fr_a,6,4,435.0561193847656
en_50m,en_fr_a,6,5,1019.1587527465821
en_50m,en_fr_a,6,6,460.0184057617187
en_50m,en_fr_a,6,7,499.8070428466797
en_50m,en_fr_a,6,8,834.8254302978515
en_50m,en_fr_a,6,9,371.27891143798826
en_50m,en_fr_a,6,10,304.66137451171875
en_50m,en_fr_a,6,11,386.4999523925781
en_50m,en_ind_a,4,0,660.3268865966797
en_50m,en_ind_a,4,1,480.83162689208984
en_50m,en_ind_a,4,2,549.1084951782227
en_50m,en_ind_a,4,3,423.15679138183594
en_50m,en_ind_a,4,4,569.4283865356446
en_50m,en_ind_a,4,5,923.6698107910156
en_50m,en_ind_a,4,6,409.16282135009766
en_50m,en_ind_a,4,7,512.8622259521485
en_50m,en_ind_a,4,8,458.2410620117187
en_50m,en_ind_a,4,9,359.7414569091797
en_50m,en_ind_a,4,10,492.9863592529297
en_50m,en_ind_a,4,11,480.0227767944336
en_50m,en_ind_a,5,0,653.2372299194336
en_50m,en_ind_a,5,1,479.8591595458984
en_50m,en_ind_a,5,2,551.3103253173828
en_50m,en_ind_a,5,3,424.5117184448242
en_50m,en_ind_a,5,4,588.8764544677734
en_50m,en_ind_a,5,5,947.7451898193359
en_50m,en_ind_a,5,6,402.58290283203127
en_50m,en_ind_a,5,7,522.946393737793
en_50m,en_ind_a,5,8,466.10156097412107
en_50m,en_ind_a,5,9,364.4482666015625
en_50m,en_ind_a,5,10,504.85306671142575
en_50m,en_ind_a,5,11,485.81736419677736
en_50m,en_ind_a,6,0,676.264684753418
en_50m,en_ind_a,6,1,491.395830078125
en_50m,en_ind_a,6,2,549.3340347290039
en_50m,en_ind_a,6,3,446.1564532470703
en_50m,en_ind_a,6,4,616.3594445800782
en_50m,en_ind_a,6,5,995.7393139648437
en_50m,en_ind_a,6,6,403.36242919921875
en_50m,en_ind_a,6,7,549.399055480957
en_50m,en_ind_a,6,8,466.65232360839843
en_50m,en_ind_a,6,9,371.39653411865237
en_50m,en_ind_a,6,10,518.3398782348632
en_50m,en_ind_a,6,11,512.4099838256836
en_50m,en_nld_a,4,0,773.7530499267579
en_50m,en_nld_a,4,1,551.2202587890625
en_50m,en_nld_a,4,2,406.7413079833984
en_50m,en_nld_a,4,3,489.56468292236326
en_50m,en_nld_a,4,4,501.5042608642578
en_50m,en_nld_a,4,5,458.74226745605466
en_50m,en_nld_a,4,6,414.5913772583008
en_50m,en_nld_a,4,7,498.6749398803711
en_50m,en_nld_a,4,8,1449.1038598632813
en_50m,en_nld_a,4,9,493.6327426147461
en_50m,en_nld_a,4,10,524.2558694458007
en_50m,en_nld_a,4,11,471.5045672607422
en_50m,en_nld_a,5,0,764.3911294555664
en_50m,en_nld_a,5,1,547.4291513061523
en_50m,en_nld_a,5,2,394.91851318359375
en_50m,en_nld_a,5,3,484.8831948852539
en_50m,en_nld_a,5,4,496.7633346557617
en_50m,en_nld_a,5,5,460.8864743041992
en_50m,en_nld_a,5,6,424.32490325927733
en_50m,en_nld_a,5,7,498.75071044921873
en_50m,en_nld_a,5,8,1528.9029821777344
