baseline,condition,embedding_axis_mean,contextual_axis_mean,contextual_over_embedding_ratio,embedding_sign_coherence_mean,contextual_sign_coherence_mean,n_rows
en_100m,cultural_random,0.1591062487922609,3.2756450298428534,20.58778366473677,0.2765710813473824,0.7106081466302359,80
en_100m,cultural_theory,0.15545456591993573,3.5524693083763124,22.85213874133457,0.28240443208773314,0.7069258176270782,16
en_100m,negative_theory,0.2203422688320279,3.607323591411114,16.371455238854157,0.36858326617133746,0.7636437026490954,16
en_50m,cultural_random,0.13996059769392014,2.3267873280644418,16.62458839417715,0.27367414947632396,0.6210619813656983,80
en_50m,cultural_theory,0.13502475256100294,2.4388505357503893,18.06224776933799,0.27607354761290953,0.6230924135343847,16
en_50m,negative_theory,0.19236727114766838,2.577927839308977,13.401072978417737,0.37270534580234593,0.6671192460066306,16
