baseline,condition,n_cases,contextual_sign_agreement,embedding_sign_agreement,contextual_abs_rho,contextual_abs_p,embedding_abs_rho,embedding_abs_p,mean_abs_output_shift
en_100m,random,176,0.3806818181818182,0.48295454545454547,-0.22237471618451454,0.0030136169379985354,-0.10606022251947264,0.16122110281955537,1.2146027304909446
en_100m,theory,176,0.5314285714285715,0.5714285714285714,0.28878577398406263,0.00010148125950463306,0.12295245255703062,0.1040134900959854,0.875439268169981
en_50m,random,176,0.5371428571428571,0.4685714285714286,0.1122796397749126,0.1379046499166612,-0.0643035007252619,0.3965039297707257,1.0607048959443064
en_50m,theory,176,0.45454545454545453,0.5227272727272727,0.01461051825298327,0.8473822546673329,-0.046970477399816725,0.5358930347641606,1.0103047688802085
all,theory,352,0.4928774928774929,0.5470085470085471,0.16725864845330074,0.0016377379388089882,0.0450874201770924,0.39904108039523534,0.9428720185250948
