scope,repr_type,model_a,model_b,layer,normalization,axis_abs_projection_diff_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean,axes_used,axes_skipped,neutral_projection_sd_a_mean,neutral_projection_sd_b_mean,cultural_norm_a_mean,cultural_norm_b_mean
layerwise,hidden_state,en_50m,en_zh_a,0,row_l2,0.1015358228981495,0.5713756084442139,-0.009849325482646236,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,0,neutral_z,0.7637094473838806,6.38534688949585,-0.015130153759382665,50,0,0.1629562819004059,0.22229936659336091,1.3389453887939453,1.4772119522094727
layerwise,hidden_state,en_50m,en_zh_a,1,row_l2,0.16570998817682267,0.8157560229301453,-0.0027992103913402388,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,1,neutral_z,0.8014563882350921,8.527084350585938,-0.0677307341247797,50,0,627.7521380615234,1880.41986328125,3524.27294921875,9206.423828125
layerwise,hidden_state,en_50m,en_zh_a,2,row_l2,0.14976338267326356,0.772162675857544,-0.0007769159739837051,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,2,neutral_z,0.7983231103420257,8.487689018249512,-0.0726499617472291,50,0,638.685433959961,1884.177236328125,3841.0439453125,9926.875
layerwise,hidden_state,en_50m,en_zh_a,3,row_l2,0.13821197137236596,0.7220600247383118,-0.00036222299328073857,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,3,neutral_z,0.7969062441587448,8.313697814941406,-0.07035857209935785,50,0,647.3260375976563,1879.1217358398437,4352.083984375,10338.28515625
layerwise,hidden_state,en_50m,en_zh_a,4,row_l2,0.1328190226852894,0.6922027468681335,-0.0005391995469108224,50,0,,,0.9999998807907104,1.0
layerwise,hidden_state,en_50m,en_zh_a,4,neutral_z,0.7991980528831482,8.067273139953613,-0.07062053189612925,50,0,648.824965209961,1886.83767578125,4686.2529296875,10694.9521484375
layerwise,hidden_state,en_50m,en_zh_a,5,row_l2,0.13210438936948776,0.7112789154052734,-0.0025508214719593527,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,5,neutral_z,0.8002040535211563,8.292034149169922,-0.06965845141385216,50,0,652.6370013427735,1869.8278076171875,4662.673828125,11036.265625
layerwise,hidden_state,en_50m,en_zh_a,6,row_l2,0.12614472404122354,0.7102978825569153,-0.0019436927884817123,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,6,neutral_z,0.7951893943548203,8.289653778076172,-0.07320972354151309,50,0,649.7170153808594,1845.8808227539062,4805.36767578125,11481.38671875
layerwise,hidden_state,en_50m,en_zh_a,7,row_l2,0.12130358472466468,0.6788228750228882,-0.0019677795143797994,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,7,neutral_z,0.7979859060049057,8.134428024291992,-0.07697258546249941,50,0,635.148521118164,1792.4559790039064,4787.130859375,12081.0439453125
layerwise,hidden_state,en_50m,en_zh_a,8,row_l2,0.12385460525751114,0.698828935623169,-0.006182409329339862,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,8,neutral_z,0.8099654322862625,7.965789794921875,-0.08567018505127635,50,0,604.981162109375,1758.7716186523437,4746.20556640625,12691.06640625
layerwise,hidden_state,en_50m,en_zh_a,9,row_l2,0.12221368685364724,0.6866199970245361,-0.0024467180971987548,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,9,neutral_z,0.8047694796323777,9.513006210327148,-0.09650338655337691,50,0,588.2338989257812,1684.7383544921875,4761.77587890625,12972.5615234375
layerwise,hidden_state,en_50m,en_zh_a,10,row_l2,0.12445150017738342,0.7047995328903198,0.0013754406617954374,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,10,neutral_z,0.81154736161232,9.155105590820312,-0.11699824110604823,50,0,597.662470703125,1672.3866137695313,4917.27685546875,13213.4716796875
layerwise,hidden_state,en_50m,en_zh_a,11,row_l2,0.12715085461735726,0.6824326515197754,0.0038357154000550507,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,11,neutral_z,0.8307840085029602,9.581134796142578,-0.10874871610663832,50,0,651.4894403076172,1813.2617333984374,5695.6220703125,14298.8740234375
layerwise,hidden_state,en_50m,en_zh_a,12,row_l2,0.1473457008600235,0.7975702285766602,0.004052317682653666,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_zh_a,12,neutral_z,0.8641342401504517,8.116758346557617,-0.11413568140938878,50,0,2.13781268119812,1.8328449892997742,17.33680534362793,13.707242012023926
layerwise,hidden_state,en_50m,en_fr_a,0,row_l2,0.08271861776709556,0.4211842715740204,0.0008843283908208832,50,0,,,1.0,1.0
layerwise,hidden_state,en_50m,en_fr_a,0,neutral_z,0.7273248195648193,5.922357559204102,0.024709052462130784,50,0,0.16295623555779457,0.184330098927021,1.3389452695846558,1.6349390745162964
layerwise,hidden_state,en_50m,en_fr_a,1,row_l2,0.16174996867775918,0.7509584426879883,-0.015444791866466403,50,0,,,1.0,1.0
