repr_type,baseline,family,quality_tier,n_words,mean_delta_jaccard,median_delta_jaccard,wilcoxon_stat,p_value
embedding_matrix,en_100m,en_nld,medium,270,0.014785627215772727,0.0,6326.5,0.002539890193076363
embedding_matrix,en_100m,en_nld,low,147,0.01143635957266632,0.0,1912.0,0.0945417741366869
embedding_matrix,en_100m,en_ukr,all,1000,0.03150042563193104,0.0,69781.5,2.4369753480571666e-27
embedding_matrix,en_100m,en_ukr,high,695,0.03201752339862948,0.0,31585.0,1.2936614203606168e-20
embedding_matrix,en_100m,en_ukr,medium,210,0.031812344451320786,0.010204081632653017,3243.5,5.573756973097072e-07
embedding_matrix,en_100m,en_ukr,low,95,0.027027942474801937,0.021258503401360596,876.0,0.009087412968456542
embedding_matrix,en_100m,en_zh,all,1000,-0.003229415833766942,0.0,112431.5,0.2705875488460353
embedding_matrix,en_100m,en_zh,high,529,-0.004397915252533028,0.0,28790.0,0.2014810918265203
embedding_matrix,en_100m,en_zh,medium,312,-0.0016892006566157818,0.0,12234.5,0.9740096863060698
embedding_matrix,en_100m,en_zh,low,159,-0.002364075851024184,0.0,3063.5,0.6528315561709521
pre_lmhead_contextual,en_50m,en_bul,all,1000,-0.014273635858712093,0.0,139883.5,1.7497195929692526e-05
pre_lmhead_contextual,en_50m,en_bul,high,717,-0.019992387515027885,0.0,63795.0,4.078089524282572e-07
pre_lmhead_contextual,en_50m,en_bul,medium,192,0.0033411364366384582,0.0,6303.0,0.617634190908632
pre_lmhead_contextual,en_50m,en_bul,low,91,-0.006380134134853675,-0.021258503401360596,1444.0,0.39855835886487423
pre_lmhead_contextual,en_50m,en_deu,all,1000,-0.015927558361798305,0.0,114875.0,1.0859129076641585e-09
pre_lmhead_contextual,en_50m,en_deu,high,666,-0.017229432094387653,0.0,48521.0,8.181179260997565e-08
pre_lmhead_contextual,en_50m,en_deu,medium,242,-0.012390387528237536,0.0,7207.0,0.01871022558537549
pre_lmhead_contextual,en_50m,en_deu,low,92,-0.01580742179459392,-0.010629251700680298,1175.0,0.06865515502345156
pre_lmhead_contextual,en_50m,en_fas,all,1000,-0.002383608451365003,0.0,163408.5,0.5076270538874393
pre_lmhead_contextual,en_50m,en_fas,high,696,-0.0067336448224072955,0.0,71811.0,0.06797083057976462
pre_lmhead_contextual,en_50m,en_fas,medium,249,0.00797943088420998,0.0,9741.5,0.19489501415357413
pre_lmhead_contextual,en_50m,en_fas,low,55,0.005747819179312564,0.021258503401360596,557.5,0.43992446606831104
pre_lmhead_contextual,en_50m,en_fr,all,1000,0.0023311730000296327,0.0,159908.5,0.7734068563117641
pre_lmhead_contextual,en_50m,en_fr,high,658,0.007513831314851907,0.0,62387.0,0.07643088239724571
pre_lmhead_contextual,en_50m,en_fr,medium,227,0.0006461974672620825,0.0,8112.5,0.6702647773513917
pre_lmhead_contextual,en_50m,en_fr,low,115,-0.02399665069749056,-0.020408163265306034,1624.0,0.004504977048914045
pre_lmhead_contextual,en_50m,en_ind,all,1000,0.006881768381753917,0.0,153529.5,0.07521614116859414
pre_lmhead_contextual,en_50m,en_ind,high,599,0.00858591640350092,0.0,52236.0,0.043113765907413754
pre_lmhead_contextual,en_50m,en_ind,medium,262,0.00976111124856142,0.0,10295.5,0.15001308847247027
pre_lmhead_contextual,en_50m,en_ind,low,139,-0.005889256770260618,0.0,2822.5,0.15259790460001008
pre_lmhead_contextual,en_50m,en_nld,all,1000,0.005094601483667779,0.0,146869.0,0.24529041314208888
pre_lmhead_contextual,en_50m,en_nld,high,583,0.007660226688472378,0.0,48576.5,0.13882568361750264
pre_lmhead_contextual,en_50m,en_nld,medium,270,0.005617963494759561,0.0,10162.5,0.4857044384701026
pre_lmhead_contextual,en_50m,en_nld,low,147,-0.006041910335351692,0.0,3264.5,0.4178208295860627
pre_lmhead_contextual,en_50m,en_ukr,all,1000,0.014361989407588422,0.0,131465.5,2.4670508363836733e-06
pre_lmhead_contextual,en_50m,en_ukr,high,695,0.009616737841644261,0.0,66686.5,0.008417887296597086
pre_lmhead_contextual,en_50m,en_ukr,medium,210,0.02827191832657879,0.021258503401360596,4590.0,1.3209979425041292e-05
pre_lmhead_contextual,en_50m,en_ukr,low,95,0.018328986937516972,0.0,1275.5,0.06986829511830095
pre_lmhead_contextual,en_50m,en_zh,all,1000,-0.006209941357674919,0.0,133889.0,0.008273367818782133
pre_lmhead_contextual,en_50m,en_zh,high,529,-0.0037127760115842315,0.0,37035.5,0.24576526471534754
pre_lmhead_contextual,en_50m,en_zh,medium,312,-0.01244290400596701,0.0,12987.0,0.008229008289162912
pre_lmhead_contextual,en_50m,en_zh,low,159,-0.0022874012433028493,0.0,3616.0,0.5183425922209368
pre_lmhead_contextual,en_100m,en_bul,all,1000,-0.007050241905296555,0.0,154100.0,0.041641885943364675
pre_lmhead_contextual,en_100m,en_bul,high,717,-0.011248507558477356,0.0,79096.5,0.011150852033084878
pre_lmhead_contextual,en_100m,en_bul,medium,192,0.008818071438868764,0.0,4932.5,0.32731818466519913
pre_lmhead_contextual,en_100m,en_bul,low,91,-0.007451996726715311,0.0,1175.0,0.33459152011441495
pre_lmhead_contextual,en_100m,en_deu,all,1000,-0.006817491995272733,0.0,135378.5,0.01632060441430282
pre_lmhead_contextual,en_100m,en_deu,high,666,-0.009145478794179915,0.0,59139.5,0.02579576092204987
pre_lmhead_contextual,en_100m,en_deu,medium,242,0.002454271381931581,0.0,8519.0,0.90884084196838
pre_lmhead_contextual,en_100m,en_deu,low,92,-0.014353660791047355,0.0,1016.5,0.04561836617711096
pre_lmhead_contextual,en_100m,en_fas,all,1000,-0.00021297596153075382,0.0,154158.5,0.841936974400091
pre_lmhead_contextual,en_100m,en_fas,high,696,-0.0031075961684265884,0.0,71694.5,0.4631781107293358
pre_lmhead_contextual,en_100m,en_fas,medium,249,0.006596399791510346,0.0,8656.0,0.20984236268645673
pre_lmhead_contextual,en_100m,en_fas,low,55,0.005589225883783191,0.0,495.5,0.468502054394053
pre_lmhead_contextual,en_100m,en_fr,all,1000,0.013628809006185828,0.0,130243.5,7.5858140513598566e-06
pre_lmhead_contextual,en_100m,en_fr,high,658,0.016141727603642273,0.0,55872.5,4.0120436011342017e-05
pre_lmhead_contextual,en_100m,en_fr,medium,227,0.01357131994679032,0.0,6323.5,0.017060771050931733
pre_lmhead_contextual,en_100m,en_fr,low,115,-0.0006359772602798949,0.0,2038.0,0.969504490644361
pre_lmhead_contextual,en_100m,en_ind,all,1000,-0.0005663050598100039,0.0,168712.0,0.7184828473068754
pre_lmhead_contextual,en_100m,en_ind,high,599,-0.0006024682209740704,0.0,58753.0,0.6565217595044579
pre_lmhead_contextual,en_100m,en_ind,medium,262,0.00012205203086016783,0.0,11372.0,0.7943816972872573
pre_lmhead_contextual,en_100m,en_ind,low,139,-0.001707944082963296,0.0,3595.5,0.6901769904100352
pre_lmhead_contextual,en_100m,en_nld,all,1000,0.012833879674640558,0.0,126565.0,8.793061044533715e-08
