repr_type,model_a,model_b,jaccard_at_k_mean,jaccard_at_k_std,frobenius_cultural_similarity,procrustes_anchor_residual_fro,procrustes_anchor_residual_per_anchor,axis_abs_projection_diff_mean,axis_abs_projection_diff_rel_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean
embedding_matrix,en_50m,en_zh_a,0.052940614702257194,0.2711836387085183,0.03809853617350266,115.6995849609375,0.0385665283203125,0.03604495853185653,0.684331967830658,0.2085497379302978,-0.0155333434557542
embedding_matrix,en_50m,en_zh_b,0.05319117753586966,0.2727566253818352,0.029215143839518246,116.10838317871094,0.0387027943929036,0.03643510296940804,0.6938830828666687,0.2008796334266662,-0.0027641274512279
embedding_matrix,en_50m,en_fr_a,0.005163523464630115,0.2901747656729652,-0.0036482671101887576,114.57160949707033,0.0381905364990234,0.012582634538412032,0.6685954189300537,0.1636641025543213,0.0030237031960859
embedding_matrix,en_50m,en_fr_b,0.010784322566475213,0.2852851295212885,-0.002751294453938749,114.91291809082033,0.0383043060302734,0.01200743868947024,0.6699975407123566,0.1602460741996765,0.0020357620553113
embedding_matrix,en_50m,en_fas_a,0.04694373152646525,0.2768397317715866,0.029980753580729144,116.12281036376952,0.0387076034545898,0.030675408244132937,0.6886674082279205,0.2084425985813141,-0.0132046797918155
embedding_matrix,en_50m,en_fas_b,0.03333537550672583,0.2786235308424055,0.025742945353190147,115.0245590209961,0.0383415196736653,0.03172550752758983,0.6810433828830719,0.2006312310695648,-0.005857388516888
embedding_matrix,en_50m,en_nld_a,0.008457520100329075,0.2908395694816453,0.00377100626627605,113.97154998779295,0.0379905166625976,0.01798237606883045,0.6616292941570282,0.1766627728939056,-0.001405750431661
embedding_matrix,en_50m,en_nld_b,0.004397773426752738,0.2911273651850377,-0.0051097691853840554,114.31045532226562,0.0381034851074218,0.01004218608140943,0.6628046774864197,0.1689088195562362,0.0017672738386318
embedding_matrix,en_50m,en_ukr_a,0.041687143082788314,0.2781235073155109,0.031129236857096357,114.54871368408205,0.0381829045613606,0.034825382381677636,0.6723271584510804,0.2224655151367187,0.0114689298951998
embedding_matrix,en_50m,en_ukr_b,0.018970325627012397,0.2771253718102892,0.016690203348795646,111.32513427734376,0.0371083780924479,0.027247474044561334,0.6772696232795715,0.2177893370389938,0.0082606295327423
embedding_matrix,en_50m,en_bul_a,0.0029794721821903014,0.2866526296432312,0.004615908304850244,109.87926483154295,0.0366264216105143,0.01221445590257643,0.6481454062461853,0.1738369464874267,-0.002082861457311
embedding_matrix,en_50m,en_bul_b,0.01967942121796573,0.2816312456485976,0.013051752726237043,111.65166473388672,0.0372172215779622,0.020656387954950325,0.6628735899925232,0.1950957924127578,0.0003347466071136
embedding_matrix,en_50m,en_ind_a,0.017858736836190325,0.2845910448588606,0.0031337839762370506,112.70218658447266,0.0375673955281575,0.014450974911451323,0.6675326764583588,0.1838903129100799,0.0067876291309949
embedding_matrix,en_50m,en_ind_b,0.010709274924401213,0.2919886458334118,-0.0020948384602864495,113.33477020263672,0.0377782567342122,0.007782079279422732,0.6692110657691955,0.1633126586675644,-0.0018353504379047
embedding_matrix,en_50m,en_deu_a,0.01797933439020094,0.2881847110696192,0.003338007609049551,112.64807891845705,0.0375493596394856,0.017838820368051525,0.6708124840259552,0.1843684911727905,-0.0029321961094683
embedding_matrix,en_50m,en_deu_b,0.02425355504722082,0.2818654359371467,0.007191202799479143,113.1682357788086,0.0377227452596028,0.02171708032488824,0.679988557100296,0.2281374186277389,-0.0066213143296772
embedding_matrix,en_100m,en_zh_a,0.05761488304433271,0.2706423206133744,0.03555801900227863,135.87464904785156,0.0452915496826171,0.01832904472947114,0.6856080710887908,0.240370973944664,-0.022436519714538
embedding_matrix,en_100m,en_zh_b,0.06084429887809961,0.2723915656595374,0.030506734212239525,136.21498107910156,0.0454049936930338,0.013871152251958813,0.6814455306529998,0.2154568433761596,-0.009667316104751
embedding_matrix,en_100m,en_fr_a,0.010115091547551747,0.2895127192879486,-0.0026234766642252716,131.24069213867188,0.0437468973795572,-0.005333825498819361,0.6723370802402496,0.1761322319507599,-0.0038794809795217
embedding_matrix,en_100m,en_fr_b,0.012563398421002625,0.2877186914643577,-0.003942072550455769,131.027587890625,0.0436758626302083,-0.0077503319084644695,0.6714304995536804,0.1837745308876037,-0.0048674156691413
embedding_matrix,en_100m,en_fas_a,0.05753795382959115,0.2742584497714225,0.031237614949544232,136.1968536376953,0.0453989512125651,0.018536931127309725,0.7016838538646698,0.2311452627182006,-0.020107876912225
embedding_matrix,en_100m,en_fas_b,0.03996485382007642,0.2792533955594081,0.028024022420247416,134.62940979003906,0.044876469930013,0.01165111497044563,0.6744847786426544,0.2314833253622055,-0.0127605833031702
embedding_matrix,en_100m,en_nld_a,0.022473647072856484,0.2837683380662853,0.0065043843587239275,131.7855682373047,0.0439285227457682,0.002275601178407638,0.6707773184776307,0.1942420899868011,-0.0083089240768458
embedding_matrix,en_100m,en_nld_b,0.00839771333834538,0.2909169494950662,-0.005875284830729174,130.21673583984375,0.0434055786132812,-0.007646193504333487,0.668931256532669,0.1913307458162307,-0.0051359206798952
embedding_matrix,en_100m,en_ukr_a,0.053333103580968655,0.2727840630698392,0.03384589131673173,134.48602294921875,0.0448286743164062,0.017935455590486538,0.6793028688430787,0.2365978360176086,0.0045657442579977
embedding_matrix,en_100m,en_ukr_b,0.02183267794903765,0.2811838871338089,0.015363416035970023,129.8218536376953,0.0432739512125651,0.005573868900537432,0.6690439593791961,0.2043176442384719,0.0013574398588389
embedding_matrix,en_100m,en_bul_a,0.013061009836443871,0.2831548299284158,0.00606894429524743,128.57183837890625,0.0428572794596354,-0.001912635862827361,0.6612682843208313,0.2103129625320434,-0.0089860368869267
embedding_matrix,en_100m,en_bul_b,0.027342800187954985,0.2824979221956702,0.016252576192220022,130.59991455078125,0.0435333048502604,0.002364223450422226,0.6645788979530335,0.1957857012748718,-0.0065684397006407
embedding_matrix,en_100m,en_ind_a,0.021072640215314853,0.2846198096642997,0.0038656056722005255,130.70321655273438,0.0435677388509114,-0.000537540167570183,0.6781095731258392,0.1806110292673111,-0.0001155561661289
embedding_matrix,en_100m,en_ind_b,0.010616465058068236,0.2918325996451673,-0.0034088007609049675,130.10308837890625,0.043367696126302,-0.009024156183004367,0.6738972640037537,0.1832339167594909,-0.0087385330023244
embedding_matrix,en_100m,en_deu_a,0.028761789631878254,0.2823352367391953,0.006924741109212235,131.0449981689453,0.0436816660563151,0.0005030751228332353,0.6746888267993927,0.1964553892612457,-0.0098353712720563
embedding_matrix,en_100m,en_deu_b,0.02329405217970204,0.2838686234525485,0.005781285603841127,131.12493896484375,0.0437083129882812,0.0009404762089252339,0.6748798322677613,0.2257754057645797,-0.013524496363243
pre_lmhead_contextual,en_50m,en_zh_a,0.0384392800415313,0.168651564500389,0.09513983917236336,575.5438842773438,0.1918479614257812,0.17166349848111473,0.6195849272608757,5.10158109664917,0.0082670556008815
pre_lmhead_contextual,en_50m,en_zh_b,0.04464922139920613,0.1643740309026202,0.09880786895751957,588.51123046875,0.19617041015625,0.04933182438214612,0.6032774338126182,4.062870025634766,-0.1777137891948223
pre_lmhead_contextual,en_50m,en_fr_a,-0.004234012879957616,0.1955454140266674,-0.01771160125732414,462.5540771484375,0.1541846923828125,0.108239960273107,0.577097760438919,4.6929931640625,-0.016901966407895
pre_lmhead_contextual,en_50m,en_fr_b,-0.006565185879987223,0.1996583268646368,-0.009407608032226539,487.6910705566406,0.1625636901855468,0.3264498992760978,0.5922672227025032,5.989093780517578,-0.107950022406876
pre_lmhead_contextual,en_50m,en_fas_a,0.024856333388948992,0.1781093660660953,0.04664514923095707,527.4338989257812,0.175811299641927,0.24580387314160657,0.6102028319239616,6.479715347290039,-0.2347564900666475
pre_lmhead_contextual,en_50m,en_fas_b,0.027239941840313975,0.1786521308341292,0.0006543579101562641,507.3519592285156,0.1691173197428385,0.09489532430966685,0.6064349603652954,5.127097129821777,0.1357127755880355
pre_lmhead_contextual,en_50m,en_nld_a,-0.0006079682106673312,0.1993117979532793,0.008896293640136763,509.4896545410156,0.1698298848470052,0.14457982261975655,0.5723458400368691,6.213286399841309,0.1085298269632039
pre_lmhead_contextual,en_50m,en_nld_b,-0.005702569694335247,0.2081956280996218,-0.0008586273193359334,471.9219665527344,0.1573073221842447,0.20545235951741514,0.5476207274198532,5.692540645599365,-0.1822579157352447
pre_lmhead_contextual,en_50m,en_ukr_a,0.024536028279368405,0.1749627702886472,0.010978698730468764,517.03759765625,0.1723458658854166,0.5822120376427962,0.5984597870707512,8.463443756103516,0.4701826832816004
pre_lmhead_contextual,en_50m,en_ukr_b,0.010174038871779922,0.185373940194734,0.02392299652099615,483.783203125,0.1612610677083333,0.06905307730038945,0.5700339260697365,4.733065128326416,0.0416617907583713
pre_lmhead_contextual,en_50m,en_bul_a,-0.008638823722800448,0.1952933360342477,0.051238365173339864,498.5123596191406,0.1661707865397135,0.05401273926099126,0.5434407517313957,5.881187438964844,0.2214924722164869
pre_lmhead_contextual,en_50m,en_bul_b,0.00563481213591166,0.1794914674220905,0.05547591400146486,500.5696716308594,0.1668565572102864,0.2847583790620174,0.579099933207035,6.325326919555664,0.3512229764461517
pre_lmhead_contextual,en_50m,en_ind_a,0.01716421214260344,0.1876654685149265,0.027233772277832066,498.9384765625,0.1663128255208333,0.10701989849408466,0.5524284607172012,5.313148021697998,0.0596533691696822
pre_lmhead_contextual,en_50m,en_ind_b,0.010282443760849524,0.191980021903834,-0.013846672058105441,477.5136413574219,0.1591712137858073,0.32130810221036255,0.5533680644631386,6.309791564941406,-0.271246949583292
pre_lmhead_contextual,en_50m,en_deu_a,0.008295516531109381,0.1930942387873136,0.007239326477050764,494.7021789550781,0.1649007263183593,0.3171677418549854,0.6004050043225289,5.761645317077637,0.2804097701981664
pre_lmhead_contextual,en_50m,en_deu_b,0.024223074892907648,0.1747582334174599,0.014803359985351566,518.3767700195312,0.172792256673177,0.1517949624856314,0.5704264187812805,4.793510437011719,0.0932972134742885
pre_lmhead_contextual,en_100m,en_zh_a,0.050832075433804635,0.161880089179535,0.13020794932047525,756.8822021484375,0.2522940673828125,0.5918374943733218,0.6441703715920448,8.26154899597168,-0.1765687537193298
pre_lmhead_contextual,en_100m,en_zh_b,0.04360822662970798,0.1668328719181944,0.12933917490641272,772.7147827148438,0.2575715942382812,0.5987935400009157,0.6379957240819931,8.935369491577148,-0.3625498699396848
pre_lmhead_contextual,en_100m,en_fr_a,0.005360406275272567,0.1891263454839157,0.0006503092447916331,591.2953491210938,0.1970984497070312,0.46652700662612956,0.5941332203149795,8.400321006774902,-0.2017378506809473
pre_lmhead_contextual,en_100m,en_fr_b,-0.008268402730913116,0.1937974667286169,0.006364443461100239,593.307861328125,0.197769287109375,0.2589473080635072,0.564344319999218,8.837663650512695,-0.2927869354188442
pre_lmhead_contextual,en_100m,en_fas_a,0.029005690011191687,0.1770474451693986,0.07604211680094404,688.6239624023438,0.2295413208007812,0.7255416655540472,0.6348830562829971,8.83251953125,-0.4195932510495186
pre_lmhead_contextual,en_100m,en_fas_b,0.0292186659727226,0.1742445066545929,0.016762423197428336,670.1953735351562,0.223398457845052,0.595026016235352,0.627816675901413,8.180818557739258,-0.0491245076060295
pre_lmhead_contextual,en_100m,en_nld_a,0.006285977825074007,0.1929462600015704,0.03142782847086582,642.9588623046875,0.2143196207682291,0.25951509475708034,0.5641036370396614,8.081610679626465,-0.076306187659502
pre_lmhead_contextual,en_100m,en_nld_b,-0.006547901849566662,0.1957815475660177,0.008956957499186138,589.5592041015625,0.1965197347005208,0.23687854766845717,0.5338757199048996,7.808588027954102,-0.3670947212725878
pre_lmhead_contextual,en_100m,en_ukr_a,0.023468877280821032,0.1766900486754588,0.035185549418131526,648.818603515625,0.2162728678385416,0.939985439777375,0.6172039219737053,11.76259994506836,0.2853455835580826
pre_lmhead_contextual,en_100m,en_ukr_b,0.0019366582015212241,0.1848863390178564,0.04312343088785804,614.328125,0.2047760416666666,0.3460149145126352,0.5808455362915993,8.036676406860352,-0.1431744827702641
pre_lmhead_contextual,en_100m,en_bul_a,0.00017069240004785602,0.1920644985539842,0.08684495798746743,646.7565307617188,0.2155855102539062,0.47325072765350384,0.5705956187844277,7.783343315124512,0.0366562431305646
pre_lmhead_contextual,en_100m,en_bul_b,0.00722093430534454,0.1805359431710571,0.08495930735270184,655.0531616210938,0.2183510538736979,0.20329685688018806,0.543399322628975,8.191221237182617,0.1663869697228074
pre_lmhead_contextual,en_100m,en_ind_a,0.012955952011983518,0.1903974630830062,0.051209078470865824,616.2918701171875,0.2054306233723958,0.3689316558837894,0.5828645059466362,8.200238227844238,-0.125183727145195
pre_lmhead_contextual,en_100m,en_ind_b,0.013522257071793553,0.1822493091991041,-0.011054044087727866,560.4815673828125,0.1868271891276041,0.2888616299629212,0.5597091507911682,7.271902561187744,-0.4560833107307553
pre_lmhead_contextual,en_100m,en_deu_a,0.015276755374807993,0.1868643167241703,0.030695177714029923,626.30810546875,0.2087693684895833,0.6199946665763858,0.6130642053484917,7.73369550704956,0.0955733551084995
pre_lmhead_contextual,en_100m,en_deu_b,0.02209424737008081,0.1757298620546193,0.036703982035319035,648.8750610351562,0.2162916870117187,0.5067637395858768,0.5898688858747483,8.236576080322266,-0.0915376503765583
