index,layer,mean,median,std
0,1,-4.338337627777842,0.026784926316763723,28.68205959532513
1,2,-4.698046832211372,0.02802066695402191,27.47566011923381
2,3,-3.668926396653069,0.022333796758068715,21.54693682061568
3,4,-2.9030475211582494,0.020917570006526838,15.169447119665254
4,5,-3.2546697894744416,0.0368536033280515,19.156890338443404
5,6,-2.7726125005027806,0.025200918679179514,16.898011007061445
6,7,-1.2654296121700883,0.03124741248743965,8.27650912162063
7,8,-1.4704713165314223,0.015630001822754647,10.076091590146243
8,9,-5.509504753286509,0.012826127380096596,35.99395889706353
9,10,-1.107512189223598,0.017133196482241687,5.742816830370385
10,11,-0.1503866377994151,7.263120516105336e-05,0.8442452567336354
11,12,0.0,0.0,0.0
