baseline,repr_type,subset_size,axis_mean,axis_std,residual_per_anchor_mean,n
en_100m,embedding_matrix,500,0.155454563178122,0.009668371068949957,0.0812814632415771,40
en_100m,embedding_matrix,1000,0.1554545625299215,0.009668372548138607,0.06632051172256466,40
en_100m,embedding_matrix,2000,0.15545456457510587,0.009668370227146979,0.05193502655029293,40
en_100m,embedding_matrix,3000,0.15545456591993564,0.009668370537195133,0.04416265996297195,40
en_100m,pre_lmhead_contextual,500,3.5524696879982947,0.20233154453108182,0.4954433990478515,40
en_100m,pre_lmhead_contextual,1000,3.552469601929188,0.2023317816392974,0.36391631240844724,40
en_100m,pre_lmhead_contextual,2000,3.552469854474068,0.20233185737229564,0.2637127555847168,40
en_100m,pre_lmhead_contextual,3000,3.5524693083763124,0.20233198718258516,0.21741399892171218,40
en_50m,embedding_matrix,500,0.13502475502341982,0.009553188405354749,0.06861581077575679,40
en_50m,embedding_matrix,1000,0.13502475546672937,0.009553187976626265,0.05649436082839961,40
en_50m,embedding_matrix,2000,0.13502475546300408,0.009553187731377276,0.044526878833770704,40
en_50m,embedding_matrix,3000,0.1350247525610029,0.009553187123298711,0.037922658284505154,40
en_50m,pre_lmhead_contextual,500,2.4388504467606547,0.16093814532923337,0.37755134506225585,40
en_50m,pre_lmhead_contextual,1000,2.4388503702282907,0.16093812586800918,0.281584061050415,40
en_50m,pre_lmhead_contextual,2000,2.4388504604101184,0.16093801989665407,0.20562211608886716,40
en_50m,pre_lmhead_contextual,3000,2.4388505357503893,0.16093805464335284,0.1701754595438639,40
