repr_type,pair,axis,mean_abs_projection_diff,mean_rel_projection_diff,mean_signed_projection_diff
embedding_matrix,ukr_50m__vs__en_ukr_a,modest->revealing,0.2570286989212036,0.9076088666915894,0.1589827686548233
embedding_matrix,ukr_50m__vs__en_ukr_a,individualism->collectivism,0.23545701801776886,0.8903204202651978,0.18542782962322235
embedding_matrix,ukr_50m__vs__en_ukr_a,pilgrim->spectator,0.23453734815120697,0.876483678817749,-0.009519933722913265
embedding_matrix,ukr_50m__vs__en_ukr_a,lotus->rose,0.20409399271011353,0.8234661817550659,0.1169591024518013
embedding_matrix,ukr_50m__vs__en_ukr_a,clan->individual,0.19261108338832855,0.8404194712638855,-0.05514427646994591
embedding_matrix,ukr_50m__vs__en_ukr_a,fermented->fresh,0.189128577709198,0.8417156338691711,-0.1335219144821167
embedding_matrix,ukr_50m__vs__en_ukr_a,patronage->meritocracy,0.18675874173641205,0.8523086905479431,0.10282992571592331
embedding_matrix,ukr_50m__vs__en_ukr_a,elder->youth,0.18398742377758026,0.8690770268440247,0.05007990449666977
embedding_matrix,ukr_50m__vs__en_ukr_a,indigenous->diaspora,0.1834152340888977,0.8637548685073853,0.0855274647474289
embedding_matrix,ukr_50m__vs__en_ukr_a,solidarity->competition,0.1778566539287567,0.8651396036148071,0.005173753947019577
embedding_matrix,ukr_50m__vs__en_ukr_a,kin->stranger,0.1770167499780655,0.8780046105384827,0.020919693633913994
embedding_matrix,ukr_50m__vs__en_ukr_a,uniform->personalized,0.1767330765724182,0.8628929257392883,0.11930801719427109
embedding_matrix,ukr_50m__vs__en_ukr_a,prayer->reason,0.1722526252269745,0.8688313961029053,0.12845507264137268
embedding_matrix,ukr_50m__vs__en_ukr_a,tradition->modernity,0.16724026203155518,0.8794639706611633,-0.04949601739645004
embedding_matrix,ukr_50m__vs__en_ukr_a,taboo->permissive,0.16302266716957092,0.7881861329078674,-0.03530121222138405
embedding_matrix,ukr_50m__vs__en_ukr_a,black->gold,0.15764228999614716,0.7931171655654907,-0.06299339979887009
