repr_type,pair,axis,mean_abs_projection_diff,mean_rel_projection_diff,mean_signed_projection_diff
embedding_matrix,ind_50m__vs__en_ind_a,restraint->indulgence,0.15414898097515106,0.8159451484680176,0.10551097244024277
embedding_matrix,ind_50m__vs__en_ind_a,indigenous->diaspora,0.15284363925457,0.78669273853302,0.0844716876745224
embedding_matrix,ind_50m__vs__en_ind_a,tradition->modernity,0.14830660820007324,0.7944403886795044,-0.004990866873413324
embedding_matrix,ind_50m__vs__en_ind_a,federal->centralized,0.14572350680828094,0.7710235118865967,0.03208604454994202
embedding_matrix,ind_50m__vs__en_ind_a,fermented->fresh,0.1443190723657608,0.7781092524528503,-0.07640904188156128
embedding_matrix,ind_50m__vs__en_ind_a,prayer->reason,0.1436971127986908,0.7985936403274536,0.10164140909910202
embedding_matrix,ind_50m__vs__en_ind_a,authority->deliberation,0.141832634806633,0.8039422631263733,0.058388303965330124
embedding_matrix,ind_50m__vs__en_ind_a,clan->individual,0.14020417630672455,0.7830698490142822,-0.04195412993431091
embedding_matrix,ind_50m__vs__en_ind_a,ornate->plain,0.14000281691551208,0.7953593134880066,-0.091632179915905
embedding_matrix,ind_50m__vs__en_ind_a,lotus->rose,0.1394459754228592,0.7918795347213745,0.009447875432670116
embedding_matrix,ind_50m__vs__en_ind_a,vegetarian->meat,0.1368413120508194,0.771191418170929,-0.015428229235112667
embedding_matrix,ind_50m__vs__en_ind_a,modest->revealing,0.1355898380279541,0.839263916015625,0.06669055670499802
embedding_matrix,ind_50m__vs__en_ind_a,ancestor->novelty,0.1349145919084549,0.8037267923355103,0.040208108723163605
embedding_matrix,ind_50m__vs__en_ind_a,sacred->secular,0.12799443304538727,0.7897858023643494,0.02787722833454609
embedding_matrix,ind_50m__vs__en_ind_a,customary->codified,0.12643112242221832,0.8097168803215027,0.07592558860778809
embedding_matrix,ind_50m__vs__en_ind_a,elder->youth,0.12618134915828705,0.7899205088615417,-0.07516385614871979
embedding_matrix,ind_50m__vs__en_ind_a,pilgrim->spectator,0.1257493495941162,0.7910390496253967,0.003775977995246649
embedding_matrix,ind_50m__vs__en_ind_a,taboo->permissive,0.1254144012928009,0.8018847703933716,0.030716953799128532
embedding_matrix,ind_50m__vs__en_ind_a,spicy->mild,0.12343057245016098,0.7726434469223022,-0.0603371262550354
embedding_matrix,ind_50m__vs__en_ind_a,individualism->collectivism,0.12061373889446259,0.7909609079360962,0.028578678146004677
embedding_matrix,ind_50m__vs__en_ind_a,patronage->meritocracy,0.12058541923761368,0.7761085033416748,0.021869881078600883
embedding_matrix,ind_50m__vs__en_ind_a,lunar->solar,0.11970632523298264,0.7918217778205872,-0.05780972167849541
embedding_matrix,ind_50m__vs__en_ind_a,kin->stranger,0.11943328380584717,0.7445192933082581,-0.006655315402895212
embedding_matrix,ind_50m__vs__en_ind_a,fasting->feasting,0.11871479451656342,0.7960449457168579,-0.005633295979350805
embedding_matrix,ind_50m__vs__en_ind_a,pilgrimage->tourism,0.11804863065481186,0.8213159441947937,-0.008177593350410461
embedding_matrix,ind_50m__vs__en_ind_a,conformity->dissent,0.11786045879125595,0.806783139705658,-0.0013932399451732635
embedding_matrix,ind_50m__vs__en_ind_a,hierarchy->equality,0.11675896495580673,0.8188475370407104,0.022715995088219643
embedding_matrix,ind_50m__vs__en_ind_a,uniform->personalized,0.11643865704536438,0.7991823554039001,-0.016080252826213837
embedding_matrix,ind_50m__vs__en_ind_a,democracy->monarchy,0.11598996073007584,0.8204119801521301,0.037363190203905106
embedding_matrix,ind_50m__vs__en_ind_a,duty->freedom,0.11558852344751358,0.8013543486595154,0.05291437357664108
embedding_matrix,ind_50m__vs__en_ind_a,homeland->migration,0.11519809067249298,0.8021358251571655,-0.0628543421626091
embedding_matrix,ind_50m__vs__en_ind_a,ritual->routine,0.1136019229888916,0.777701735496521,0.04810734838247299
embedding_matrix,ind_50m__vs__en_ind_a,local->global,0.1128978282213211,0.7069169282913208,0.014150932431221008
embedding_matrix,ind_50m__vs__en_ind_a,assimilation->pluralism,0.11020182818174362,0.7710514068603516,-0.04730819910764694
embedding_matrix,ind_50m__vs__en_ind_a,veiled->unveiled,0.10984382033348083,0.7726467847824097,-0.015268512070178986
embedding_matrix,ind_50m__vs__en_ind_a,solidarity->competition,0.10697465389966965,0.7317912578582764,-0.04706735536456108
embedding_matrix,ind_50m__vs__en_ind_a,script->image,0.10651391744613647,0.7869720458984375,0.006600457243621349
embedding_matrix,ind_50m__vs__en_ind_a,honor->shame,0.10484319925308228,0.7744126319885254,-0.01646382175385952
embedding_matrix,ind_50m__vs__en_ind_a,certainty->ambiguity,0.10450198501348495,0.7847307324409485,-0.0006466751219704747
embedding_matrix,ind_50m__vs__en_ind_a,formal->casual,0.10410118103027344,0.7264676094055176,0.021582091227173805
embedding_matrix,ind_50m__vs__en_ind_a,majority->minority,0.1030706912279129,0.7560316920280457,0.034873176366090775
embedding_matrix,ind_50m__vs__en_ind_a,black->gold,0.10171841084957123,0.7512305974960327,-0.011071812361478806
embedding_matrix,ind_50m__vs__en_ind_a,dragon->eagle,0.10157206654548645,0.735355794429779,0.01173822395503521
embedding_matrix,ind_50m__vs__en_ind_a,mourning->celebration,0.10126291215419769,0.7891315221786499,0.017854876816272736
embedding_matrix,ind_50m__vs__en_ind_a,lineage->mobility,0.10033769905567169,0.7768526673316956,-0.0007642967975698411
embedding_matrix,ind_50m__vs__en_ind_a,obedience->autonomy,0.1002049595117569,0.7769231200218201,0.057046979665756226
embedding_matrix,ind_50m__vs__en_ind_a,white->red,0.09440553188323975,0.7328252196311951,0.0014281666371971369
embedding_matrix,ind_50m__vs__en_ind_a,rice->bread,0.0857967883348465,0.750749409198761,0.0021986395586282015
embedding_matrix,ind_50m__vs__en_ind_a,mother->father,0.0816054418683052,0.7290562987327576,0.0028736982494592667
embedding_matrix,ind_50m__vs__en_ind_a,tea->coffee,0.08067983388900757,0.7267261743545532,0.0052033173851668835
embedding_matrix,ind_50m__vs__en_ind_b,tradition->modernity,0.15715272724628448,0.8150752186775208,-0.021371426060795784
embedding_matrix,ind_50m__vs__en_ind_b,assimilation->pluralism,0.14378702640533447,0.7989185452461243,-0.09421602636575699
embedding_matrix,ind_50m__vs__en_ind_b,indigenous->diaspora,0.1381188929080963,0.7992635369300842,0.01517956331372261
embedding_matrix,ind_50m__vs__en_ind_b,ornate->plain,0.13437174260616302,0.7803913354873657,-0.09953796118497849
embedding_matrix,ind_50m__vs__en_ind_b,individualism->collectivism,0.1339692920446396,0.7880420088768005,0.07332278788089752
embedding_matrix,ind_50m__vs__en_ind_b,authority->deliberation,0.13322554528713226,0.8083376288414001,0.036367155611515045
embedding_matrix,ind_50m__vs__en_ind_b,clan->individual,0.1312534511089325,0.7814870476722717,-0.06486313790082932
embedding_matrix,ind_50m__vs__en_ind_b,modest->revealing,0.1282672882080078,0.8261922597885132,0.09009342640638351
embedding_matrix,ind_50m__vs__en_ind_b,lotus->rose,0.12770622968673706,0.7984886765480042,-0.016299229115247726
embedding_matrix,ind_50m__vs__en_ind_b,veiled->unveiled,0.12717130780220032,0.7829998731613159,-0.031062481924891472
embedding_matrix,ind_50m__vs__en_ind_b,federal->centralized,0.1265949010848999,0.7512909173965454,0.025910960510373116
embedding_matrix,ind_50m__vs__en_ind_b,black->gold,0.12222199887037277,0.778377890586853,-0.002312488155439496
embedding_matrix,ind_50m__vs__en_ind_b,conformity->dissent,0.12158972024917603,0.8243206739425659,0.060695476830005646
embedding_matrix,ind_50m__vs__en_ind_b,kin->stranger,0.11595044285058975,0.7371601462364197,-0.01821453869342804
