repr_type,model_a,model_b,metric,mean,ci_low,ci_high
embedding_matrix,fas_50m,en_fas_a,jaccard_at_k_mean,0.67983897214404,0.6617691633011286,0.6964172487838787
embedding_matrix,fas_50m,en_fas_a,axis_abs_projection_diff_mean,0.12883096483089027,0.12145783835276958,0.13637397679314014
embedding_matrix,fas_50m,en_fas_a,frobenius_cultural_similarity,0.14527426565551757,0.1419732925415039,0.14851106338500975
embedding_matrix,fas_50m,en_fas_b,jaccard_at_k_mean,0.6739360155388522,0.6549161407502341,0.6925233773826392
embedding_matrix,fas_50m,en_fas_b,axis_abs_projection_diff_mean,0.13663300376579163,0.12936017401143904,0.14411151781305664
embedding_matrix,fas_50m,en_fas_b,frobenius_cultural_similarity,0.14299520749664305,0.13989559059143067,0.1461146068572998
embedding_matrix,fas_100m,en_fas_a,jaccard_at_k_mean,0.6834704153363046,0.6659871270929165,0.7004528420807259
embedding_matrix,fas_100m,en_fas_a,axis_abs_projection_diff_mean,0.12949848595388233,0.12200974651426073,0.13700197966024275
embedding_matrix,fas_100m,en_fas_a,frobenius_cultural_similarity,0.14507266931915283,0.1418231704711914,0.14842279319763182
embedding_matrix,fas_100m,en_fas_b,jaccard_at_k_mean,0.682754321127941,0.6642930085909442,0.7002671281171234
embedding_matrix,fas_100m,en_fas_b,axis_abs_projection_diff_mean,0.1365458558233827,0.12890671595185993,0.14402094865962858
embedding_matrix,fas_100m,en_fas_b,frobenius_cultural_similarity,0.14332737763977046,0.14027393798828125,0.14653590812683107
pre_lmhead_contextual,fas_50m,en_fas_a,jaccard_at_k_mean,0.8540406126161131,0.8435281337678195,0.8640457818346575
pre_lmhead_contextual,fas_50m,en_fas_a,axis_abs_projection_diff_mean,2.6311935428637265,2.2192012297213077,3.052966002851724
pre_lmhead_contextual,fas_50m,en_fas_a,frobenius_cultural_similarity,0.40812465185546876,0.39312137451171875,0.4227477294921875
pre_lmhead_contextual,fas_50m,en_fas_b,jaccard_at_k_mean,0.8619880149877868,0.8522614209109249,0.8713402122745944
pre_lmhead_contextual,fas_50m,en_fas_b,axis_abs_projection_diff_mean,2.424639159039259,2.040614152044058,2.8428632336258888
pre_lmhead_contextual,fas_50m,en_fas_b,frobenius_cultural_similarity,0.34078929804992675,0.328209578704834,0.3531436599731445
pre_lmhead_contextual,fas_100m,en_fas_a,jaccard_at_k_mean,0.8723241923761369,0.8624987988552244,0.8821376274494025
pre_lmhead_contextual,fas_100m,en_fas_a,axis_abs_projection_diff_mean,2.910001542084217,2.4888342988491057,3.3766587590575217
pre_lmhead_contextual,fas_100m,en_fas_a,frobenius_cultural_similarity,0.40849072065734854,0.39325739212036137,0.4234278923034668
pre_lmhead_contextual,fas_100m,en_fas_b,jaccard_at_k_mean,0.8787507115258281,0.8697119136089453,0.887503616290364
pre_lmhead_contextual,fas_100m,en_fas_b,axis_abs_projection_diff_mean,2.6766672908461095,2.2669894411861895,3.1365558546781536
pre_lmhead_contextual,fas_100m,en_fas_b,frobenius_cultural_similarity,0.34131975398254394,0.328562580871582,0.35390685119628906
contextual_over_embedding,fas_50m,en_fas_a,axis_ratio_contextual_over_embedding,20.513343741941636,17.19437525702343,23.96057372271646
contextual_over_embedding,fas_50m,en_fas_b,axis_ratio_contextual_over_embedding,17.724174450275967,14.868364288218542,20.986793055506002
contextual_over_embedding,fas_100m,en_fas_a,axis_ratio_contextual_over_embedding,22.447069669835845,18.864048496218548,26.236353503633683
contextual_over_embedding,fas_100m,en_fas_b,axis_ratio_contextual_over_embedding,19.563852717988265,16.486104143640645,23.14709143495871
